date,total_headlines
2003-02-19,198
2003-02-20,250
2003-02-21,250
2003-02-22,126
2003-02-23,136
2003-02-24,250
2003-02-25,250
2003-02-26,250
2003-02-27,221
2003-02-28,249
2003-03-01,176
2003-03-02,168
2003-03-03,232
2003-03-04,215
2003-03-05,239
2003-03-06,214
2003-03-07,209
2003-03-08,124
2003-03-09,164
2003-03-10,217
2003-03-11,220
2003-03-12,226
2003-03-13,224
2003-03-14,229
2003-03-15,134
2003-03-16,119
2003-03-17,226
2003-03-18,226
2003-03-19,225
2003-03-20,219
2003-03-21,215
2003-03-22,196
2003-03-23,202
2003-03-24,233
2003-03-25,234
2003-03-26,224
2003-03-27,228
2003-03-28,223
2003-03-29,195
2003-03-30,220
2003-03-31,234
2003-04-01,215
2003-04-02,226
2003-04-03,219
2003-04-04,207
2003-04-05,177
2003-04-06,153
2003-04-07,216
2003-04-08,212
2003-04-09,219
2003-04-10,215
2003-04-11,202
2003-04-12,155
2003-04-13,171
2003-04-14,210
2003-04-15,234
2003-04-16,221
2003-04-17,237
2003-04-18,195
2003-04-19,195
2003-04-20,184
2003-04-21,210
2003-04-22,220
2003-04-23,214
2003-04-24,221
2003-04-25,226
2003-04-26,152
2003-04-27,153
2003-04-28,218
2003-04-29,213
2003-04-30,211
2003-05-01,221
2003-05-02,216
2003-05-03,132
2003-05-04,146
2003-05-05,231
2003-05-06,232
2003-05-07,222
2003-05-08,238
2003-05-09,230
2003-05-10,115
2003-05-11,156
2003-05-12,221
2003-05-13,212
2003-05-14,222
2003-05-15,233
2003-05-16,220
2003-05-17,140
2003-05-18,136
2003-05-19,238
2003-05-20,243
2003-05-21,246
2003-05-22,245
2003-05-23,245
2003-05-24,155
2003-05-25,145
2003-05-26,244
2003-05-27,238
2003-05-28,240
2003-05-29,238
2003-05-30,241
2003-05-31,158
2003-06-01,164
2003-06-02,240
2003-06-03,239
2003-06-04,241
2003-06-05,241
2003-06-06,240
2003-06-07,156
2003-06-08,166
2003-06-09,234
2003-06-10,235
2003-06-11,241
2003-06-12,237
2003-06-13,241
2003-06-14,131
2003-06-15,120
2003-06-16,240
2003-06-17,243
2003-06-18,237
2003-06-19,239
2003-06-20,245
2003-06-21,167
2003-06-22,158
2003-06-23,236
2003-06-24,246
2003-06-25,243
2003-06-26,239
2003-06-27,243
2003-06-28,138
2003-06-29,136
2003-06-30,210
2003-07-01,229
2003-07-02,215
2003-07-03,196
2003-07-04,238
2003-07-05,127
2003-07-06,127
2003-07-07,233
2003-07-08,238
2003-07-09,236
2003-07-10,242
2003-07-11,233
2003-07-12,149
2003-07-13,156
2003-07-14,231
2003-07-15,236
2003-07-16,242
2003-07-17,240
2003-07-18,242
2003-07-19,122
2003-07-20,118
2003-07-21,240
2003-07-22,239
2003-07-23,242
2003-07-24,244
2003-07-25,241
2003-07-26,159
2003-07-27,152
2003-07-28,227
2003-07-29,239
2003-07-30,227
2003-07-31,245
2003-08-01,241
2003-08-02,122
2003-08-03,128
2003-08-04,244
2003-08-05,244
2003-08-06,246
2003-08-07,239
2003-08-08,231
2003-08-09,125
2003-08-10,124
2003-08-11,236
2003-08-12,245
2003-08-13,242
2003-08-14,219
2003-08-15,244
2003-08-16,132
2003-08-17,111
2003-08-18,240
2003-08-19,245
2003-08-20,233
2003-08-21,226
2003-08-22,206
2003-08-23,133
2003-08-24,112
2003-08-25,222
2003-08-26,225
2003-08-27,206
2003-08-28,215
2003-08-29,208
2003-08-30,144
2003-08-31,140
2003-09-01,235
2003-09-02,226
2003-09-03,216
2003-09-04,225
2003-09-05,222
2003-09-06,106
2003-09-07,98
2003-09-08,236
2003-09-09,244
2003-09-10,220
2003-09-11,218
2003-09-12,229
2003-09-13,114
2003-09-14,106
2003-09-15,216
2003-09-16,200
2003-09-17,235
2003-09-18,232
2003-09-19,226
2003-09-20,121
2003-09-21,123
2003-09-22,208
2003-09-23,227
2003-09-24,223
2003-09-25,228
2003-09-26,201
2003-09-27,152
2003-09-28,128
2003-09-29,199
2003-09-30,226
2003-10-01,248
2003-10-02,230
2003-10-03,237
2003-10-04,135
2003-10-05,121
2003-10-06,211
2003-10-07,248
2003-10-08,241
2003-10-09,242
2003-10-10,234
2003-10-11,149
2003-10-12,148
2003-10-13,212
2003-10-14,238
2003-10-15,245
2003-10-16,245
2003-10-17,247
2003-10-18,127
2003-10-19,107
2003-10-20,245
2003-10-21,245
2003-10-22,246
2003-10-23,241
2003-10-24,242
2003-10-25,154
2003-10-26,146
2003-10-27,244
2003-10-28,246
2003-10-29,246
2003-10-30,245
2003-10-31,233
2003-11-01,109
2003-11-02,122
2003-11-03,242
2003-11-04,151
2003-11-05,160
2003-11-06,228
2003-11-07,235
2003-11-08,140
2003-11-09,126
2003-11-10,222
2003-11-11,196
2003-11-12,229
2003-11-13,241
2003-11-14,240
2003-11-15,129
2003-11-16,121
2003-11-17,231
2003-11-18,221
2003-11-19,195
2003-11-20,247
2003-11-21,244
2003-11-22,126
2003-11-23,141
2003-11-24,214
2003-11-25,240
2003-11-26,244
2003-11-27,239
2003-11-28,227
2003-11-29,123
2003-11-30,128
2003-12-01,246
2003-12-02,240
2003-12-03,240
2003-12-04,248
2003-12-05,246
2003-12-06,134
2003-12-07,129
2003-12-08,242
2003-12-09,238
2003-12-10,245
2003-12-11,244
2003-12-12,243
2003-12-13,124
2003-12-14,112
2003-12-15,245
2003-12-16,243
2003-12-17,218
2003-12-18,206
2003-12-19,193
2003-12-20,119
2003-12-21,118
2003-12-22,184
2003-12-23,168
2003-12-24,176
2003-12-25,97
2003-12-26,114
2003-12-27,137
2003-12-28,133
2003-12-29,135
2003-12-30,179
2003-12-31,183
2004-01-01,136
2004-01-02,165
2004-01-03,126
2004-01-04,122
2004-01-05,215
2004-01-06,220
2004-01-07,226
2004-01-08,217
2004-01-09,191
2004-01-10,167
2004-01-11,163
2004-01-12,177
2004-01-13,207
2004-01-14,235
2004-01-15,206
2004-01-16,227
2004-01-17,117
2004-01-18,97
2004-01-19,167
2004-01-20,182
2004-01-21,219
2004-01-22,214
2004-01-23,224
2004-01-24,148
2004-01-25,129
2004-01-26,178
2004-01-27,230
2004-01-28,232
2004-01-29,246
2004-01-30,238
2004-01-31,144
2004-02-01,136
2004-02-02,209
2004-02-03,220
2004-02-04,199
2004-02-05,229
2004-02-06,238
2004-02-07,152
2004-02-08,120
2004-02-09,222
2004-02-10,226
2004-02-11,233
2004-02-12,244
2004-02-13,229
2004-02-14,126
2004-02-15,120
2004-02-16,235
2004-02-17,234
2004-02-18,235
2004-02-19,242
2004-02-20,236
2004-02-21,127
2004-02-22,140
2004-02-23,238
2004-02-24,240
2004-02-25,244
2004-02-26,241
2004-02-27,233
2004-02-28,131
2004-02-29,142
2004-03-01,239
2004-03-02,214
2004-03-03,240
2004-03-04,222
2004-03-05,209
2004-03-06,150
2004-03-07,152
2004-03-08,223
2004-03-09,240
2004-03-10,240
2004-03-11,197
2004-03-12,237
2004-03-13,147
2004-03-14,129
2004-03-15,220
2004-03-16,234
2004-03-17,230
2004-03-18,239
2004-03-19,241
2004-03-20,151
2004-03-21,145
2004-03-22,236
2004-03-23,240
2004-03-24,239
2004-03-25,232
2004-03-26,223
2004-03-27,174
2004-03-28,164
2004-03-29,233
2004-03-30,236
2004-03-31,230
2004-04-01,228
2004-04-02,232
2004-04-03,156
2004-04-04,138
2004-04-05,229
2004-04-06,240
2004-04-07,239
2004-04-08,224
2004-04-09,138
2004-04-10,141
2004-04-11,128
2004-04-12,179
2004-04-13,234
2004-04-14,243
2004-04-15,234
2004-04-16,243
2004-04-17,126
2004-04-18,117
2004-04-19,204
2004-04-20,206
2004-04-21,210
2004-04-22,225
2004-04-23,237
2004-04-24,121
2004-04-25,133
2004-04-26,223
2004-04-27,234
2004-04-28,238
2004-04-29,222
2004-04-30,225
2004-05-01,164
2004-05-02,141
2004-05-03,208
2004-05-04,237
2004-05-05,234
2004-05-06,233
2004-05-07,233
2004-05-08,139
2004-05-09,108
2004-05-10,203
2004-05-11,239
2004-05-12,202
2004-05-13,231
2004-05-14,233
2004-05-15,118
2004-05-16,116
2004-05-17,239
2004-05-18,242
2004-05-19,226
2004-05-21,236
2004-05-22,140
2004-05-23,121
2004-05-24,224
2004-05-25,226
2004-05-26,239
2004-05-27,235
2004-05-28,236
2004-05-29,138
2004-05-30,106
2004-05-31,230
2004-06-01,242
2004-06-02,237
2004-06-03,242
2004-06-04,236
2004-06-05,134
2004-06-06,121
2004-06-07,212
2004-06-08,238
2004-06-09,242
2004-06-10,243
2004-06-11,235
2004-06-12,168
2004-06-13,158
2004-06-14,198
2004-06-15,233
2004-06-16,234
2004-06-17,236
2004-06-18,235
2004-06-19,163
2004-06-20,148
2004-06-21,239
2004-06-22,238
2004-06-23,230
2004-06-24,239
2004-06-25,240
2004-06-26,134
2004-06-27,130
2004-06-28,205
2004-06-29,233
2004-06-30,233
2004-07-01,230
2004-07-02,225
2004-07-03,130
2004-07-04,116
2004-07-05,221
2004-07-06,229
2004-07-07,236
2004-07-08,236
2004-07-09,229
2004-07-10,134
2004-07-11,122
2004-07-12,238
2004-07-13,237
2004-07-14,239
2004-07-15,239
2004-07-16,217
2004-07-17,132
2004-07-18,121
2004-07-19,232
2004-07-20,219
2004-07-21,236
2004-07-22,237
2004-07-23,237
2004-07-24,125
2004-07-25,121
2004-07-26,238
2004-07-27,220
2004-07-28,212
2004-07-29,227
2004-07-30,214
2004-07-31,98
2004-08-01,104
2004-08-02,218
2004-08-03,233
2004-08-04,236
2004-08-05,234
2004-08-06,237
2004-08-07,104
2004-08-08,113
2004-08-09,245
2004-08-10,237
2004-08-11,238
2004-08-12,235
2004-08-13,236
2004-08-14,131
2004-08-15,147
2004-08-16,239
2004-08-17,241
2004-08-18,245
2004-08-19,234
2004-08-20,239
2004-08-21,185
2004-08-22,175
2004-08-23,238
2004-08-24,240
2004-08-25,239
2004-08-26,244
2004-08-27,237
2004-08-28,134
2004-08-29,127
2004-08-30,241
2004-08-31,241
2004-09-02,236
2004-09-03,235
2004-09-04,127
2004-09-05,122
2004-09-06,242
2004-09-07,221
2004-09-08,211
2004-09-09,240
2004-09-10,236
2004-09-11,132
2004-09-12,110
2004-09-13,241
2004-09-14,221
2004-09-15,245
2004-09-16,239
2004-09-17,208
2004-09-18,115
2004-09-19,133
2004-09-20,240
2004-09-21,219
2004-09-22,238
2004-09-23,239
2004-09-24,222
2004-09-25,119
2004-09-26,103
2004-09-27,239
2004-09-28,238
2004-09-29,238
2004-09-30,234
2004-10-01,214
2004-10-02,148
2004-10-03,125
2004-10-04,202
2004-10-05,225
2004-10-06,243
2004-10-07,214
2004-10-08,242
2004-10-09,144
2004-10-10,125
2004-10-11,232
2004-10-12,220
2004-10-13,231
2004-10-14,229
2004-10-15,241
2004-10-16,121
2004-10-17,102
2004-10-18,235
2004-10-19,241
2004-10-20,241
2004-10-21,241
2004-10-22,237
2004-10-23,119
2004-10-24,98
2004-10-25,240
2004-10-26,239
2004-10-27,233
2004-10-28,238
2004-10-29,237
2004-10-30,102
2004-10-31,93
2004-11-01,225
2004-11-02,237
2004-11-03,235
2004-11-04,238
2004-11-05,237
2004-11-06,122
2004-11-07,123
2004-11-08,217
2004-11-09,231
2004-11-10,235
2004-11-11,239
2004-11-12,240
2004-11-13,139
2004-11-14,114
2004-11-15,229
2004-11-16,238
2004-11-17,233
2004-11-18,237
2004-11-19,238
2004-11-20,139
2004-11-21,147
2004-11-22,238
2004-11-23,241
2004-11-24,233
2004-11-25,235
2004-11-26,238
2004-11-27,137
2004-11-28,155
2004-11-29,209
2004-11-30,241
2004-12-01,235
2004-12-02,233
2004-12-03,234
2004-12-04,118
2004-12-05,122
2004-12-06,220
2004-12-07,237
2004-12-08,224
2004-12-09,233
2004-12-10,238
2004-12-11,134
2004-12-12,116
2004-12-13,232
2004-12-14,241
2004-12-15,215
2004-12-16,231
2004-12-17,223
2004-12-18,114
2004-12-19,127
2004-12-20,216
2004-12-21,210
2004-12-22,206
2004-12-23,214
2004-12-24,208
2004-12-25,68
2004-12-26,100
2004-12-27,132
2004-12-28,156
2004-12-29,152
2004-12-30,205
2004-12-31,179
2005-01-01,130
2005-01-02,114
2005-01-03,168
2005-01-04,226
2005-01-05,215
2005-01-06,231
2005-01-07,236
2005-01-08,128
2005-01-09,129
2005-01-10,214
2005-01-11,213
2005-01-12,232
2005-01-13,237
2005-01-14,228
2005-01-15,120
2005-01-16,131
2005-01-17,238
2005-01-18,238
2005-01-19,240
2005-01-20,235
2005-01-21,219
2005-01-22,126
2005-01-23,145
2005-01-24,243
2005-01-25,241
2005-01-26,238
2005-01-27,246
2005-01-28,240
2005-01-29,125
2005-01-30,130
2005-01-31,240
2005-02-01,241
2005-02-02,241
2005-02-03,241
2005-02-04,232
2005-02-05,118
2005-02-06,120
2005-02-07,238
2005-02-08,243
2005-02-09,238
2005-02-10,238
2005-02-11,236
2005-02-12,124
2005-02-13,125
2005-02-14,240
2005-02-15,233
2005-02-16,242
2005-02-17,239
2005-02-18,235
2005-02-19,114
2005-02-20,128
2005-02-21,227
2005-02-22,236
2005-02-23,237
2005-02-24,239
2005-02-25,238
2005-02-26,135
2005-02-27,128
2005-02-28,235
2005-03-01,232
2005-03-02,225
2005-03-03,234
2005-03-04,230
2005-03-05,130
2005-03-06,127
2005-03-07,237
2005-03-08,236
2005-03-09,231
2005-03-10,236
2005-03-11,236
2005-03-12,119
2005-03-13,125
2005-03-14,235
2005-03-15,235
2005-03-16,238
2005-03-17,235
2005-03-18,235
2005-03-19,132
2005-03-20,129
2005-03-21,240
2005-03-22,232
2005-03-23,237
2005-03-24,239
2005-03-25,118
2005-03-26,101
2005-03-27,120
2005-03-28,172
2005-03-29,230
2005-03-30,242
2005-03-31,235
2005-04-01,240
2005-04-02,120
2005-04-03,119
2005-04-04,237
2005-04-05,233
2005-04-06,240
2005-04-07,234
2005-04-08,234
2005-04-09,130
2005-04-10,117
2005-04-11,236
2005-04-12,235
2005-04-13,242
2005-04-14,245
2005-04-15,240
2005-04-16,124
2005-04-17,113
2005-04-18,238
2005-04-19,234
2005-04-20,234
2005-04-21,238
2005-04-22,243
2005-04-23,96
2005-04-24,107
2005-04-25,236
2005-04-26,233
2005-04-27,236
2005-04-28,243
2005-04-30,124
2005-05-01,109
2005-05-02,236
2005-05-03,237
2005-05-04,235
2005-05-05,235
2005-05-06,233
2005-05-07,126
2005-05-08,127
2005-05-09,242
2005-05-10,232
2005-05-11,233
2005-05-12,241
2005-05-13,242
2005-05-14,118
2005-05-15,123
2005-05-16,236
2005-05-17,235
2005-05-18,240
2005-05-19,241
2005-05-20,235
2005-05-21,128
2005-05-22,120
2005-05-23,238
2005-05-24,238
2005-05-25,235
2005-05-26,238
2005-05-27,235
2005-05-28,128
2005-05-29,122
2005-05-30,242
2005-05-31,235
2005-06-01,243
2005-06-02,238
2005-06-03,235
2005-06-04,120
2005-06-05,118
2005-06-06,231
2005-06-07,235
2005-06-08,234
2005-06-09,239
2005-06-10,232
2005-06-11,136
2005-06-12,131
2005-06-13,236
2005-06-14,237
2005-06-15,239
2005-06-16,242
2005-06-17,239
2005-06-18,127
2005-06-19,104
2005-06-20,237
2005-06-21,240
2005-06-22,235
2005-06-23,240
2005-06-24,238
2005-06-25,128
2005-06-26,141
2005-06-27,226
2005-06-28,239
2005-06-29,236
2005-06-30,242
2005-07-01,230
2005-07-02,118
2005-07-03,128
2005-07-04,217
2005-07-05,238
2005-07-06,235
2005-07-07,239
2005-07-08,238
2005-07-09,118
2005-07-10,119
2005-07-11,228
2005-07-12,244
2005-07-13,239
2005-07-14,231
2005-07-15,240
2005-07-16,124
2005-07-17,125
2005-07-18,230
2005-07-19,238
2005-07-20,237
2005-07-21,208
2005-07-22,243
2005-07-23,126
2005-07-24,123
2005-07-25,232
2005-07-26,239
2005-07-27,240
2005-07-28,243
2005-07-29,237
2005-07-30,129
2005-07-31,117
2005-08-01,236
2005-08-02,237
2005-08-03,236
2005-08-04,236
2005-08-05,237
2005-08-06,134
2005-08-07,145
2005-08-08,234
2005-08-09,232
2005-08-10,236
2005-08-11,237
2005-08-12,235
2005-08-13,105
2005-08-14,108
2005-08-15,241
2005-08-16,238
2005-08-17,235
2005-08-18,239
2005-08-19,237
2005-08-20,119
2005-08-21,133
2005-08-22,232
2005-08-23,234
2005-08-24,237
2005-08-25,230
2005-08-26,229
2005-08-27,120
2005-08-28,128
2005-08-29,235
2005-08-30,206
2005-08-31,230
2005-09-01,235
2005-09-02,235
2005-09-03,110
2005-09-04,114
2005-09-05,241
2005-09-06,231
2005-09-07,233
2005-09-08,229
2005-09-09,236
2005-09-10,128
2005-09-11,123
2005-09-12,235
2005-09-13,238
2005-09-14,230
2005-09-15,234
2005-09-16,237
2005-09-17,136
2005-09-18,130
2005-09-19,239
2005-09-20,239
2005-09-21,241
2005-09-22,244
2005-09-23,232
2005-09-24,124
2005-09-25,102
2005-09-26,215
2005-09-27,239
2005-09-28,237
2005-09-29,239
2005-09-30,241
2005-10-01,116
2005-10-02,113
2005-10-03,236
2005-10-04,240
2005-10-05,238
2005-10-06,234
2005-10-07,238
2005-10-08,118
2005-10-09,94
2005-10-10,238
2005-10-11,234
2005-10-12,235
2005-10-13,235
2005-10-14,234
2005-10-15,119
2005-10-16,113
2005-10-17,224
2005-10-18,236
2005-10-19,233
2005-10-20,237
2005-10-21,236
2005-10-22,141
2005-10-23,131
2005-10-24,234
2005-10-25,240
2005-10-26,229
2005-10-27,230
2005-10-28,237
2005-10-29,141
2005-10-30,83
2005-10-31,227
2005-11-01,219
2005-11-02,235
2005-11-03,239
2005-11-04,241
2005-11-05,126
2005-11-06,123
2005-11-07,227
2005-11-08,234
2005-11-09,233
2005-11-10,236
2005-11-11,237
2005-11-12,126
2005-11-13,122
2005-11-14,238
2005-11-15,239
2005-11-16,235
2005-11-17,235
2005-11-18,238
2005-11-19,139
2005-11-20,134
2005-11-21,236
2005-11-22,237
2005-11-23,234
2005-11-24,233
2005-11-25,234
2005-11-26,121
2005-11-27,118
2005-11-28,236
2005-11-29,233
2005-11-30,238
2005-12-01,234
2005-12-02,232
2005-12-03,125
2005-12-04,128
2005-12-05,239
2005-12-06,236
2005-12-07,238
2005-12-08,229
2005-12-09,237
2005-12-10,121
2005-12-11,128
2005-12-12,237
2005-12-13,236
2005-12-14,237
2005-12-15,240
2005-12-16,237
2005-12-17,117
2005-12-18,115
2005-12-19,233
2005-12-20,239
2005-12-21,241
2005-12-22,232
2005-12-23,218
2005-12-24,107
2005-12-25,74
2005-12-26,127
2005-12-27,152
2005-12-28,177
2005-12-29,191
2005-12-30,164
2005-12-31,88
2006-01-01,98
2006-01-02,135
2006-01-03,205
2006-01-04,230
2006-01-05,229
2006-01-06,240
2006-01-07,110
2006-01-08,113
2006-01-09,236
2006-01-10,232
2006-01-11,225
2006-01-12,235
2006-01-13,231
2006-01-14,111
2006-01-15,105
2006-01-16,235
2006-01-17,234
2006-01-18,234
2006-01-19,232
2006-01-20,237
2006-01-21,135
2006-01-22,129
2006-01-23,239
2006-01-24,240
2006-01-25,236
2006-01-26,234
2006-01-27,229
2006-01-28,117
2006-01-29,127
2006-01-30,233
2006-01-31,232
2006-02-01,236
2006-02-02,234
2006-02-03,225
2006-02-04,109
2006-02-05,108
2006-02-06,233
2006-02-07,235
2006-02-08,234
2006-02-09,237
2006-02-10,227
2006-02-11,98
2006-02-12,111
2006-02-13,235
2006-02-14,234
2006-02-15,232
2006-02-16,236
2006-02-17,236
2006-02-18,107
2006-02-19,111
2006-02-20,234
2006-02-21,232
2006-02-22,234
2006-02-23,238
2006-02-24,227
2006-02-25,130
2006-02-26,129
2006-02-27,232
2006-02-28,234
2006-03-01,231
2006-03-02,239
2006-03-03,236
2006-03-04,127
2006-03-05,122
2006-03-06,229
2006-03-07,232
2006-03-08,235
2006-03-09,236
2006-03-10,228
2006-03-11,125
2006-03-12,118
2006-03-13,234
2006-03-14,231
2006-03-15,237
2006-03-16,235
2006-03-17,231
2006-03-18,169
2006-03-19,154
2006-03-20,233
2006-03-21,238
2006-03-22,238
2006-03-23,230
2006-03-24,231
2006-03-25,168
2006-03-26,151
2006-03-27,238
2006-03-28,244
2006-03-29,236
2006-03-30,241
2006-03-31,233
2006-04-01,123
2006-04-02,134
2006-04-03,238
2006-04-04,241
2006-04-05,241
2006-04-06,236
2006-04-07,235
2006-04-08,133
2006-04-09,124
2006-04-10,239
2006-04-11,235
2006-04-12,238
2006-04-13,234
2006-04-14,122
2006-04-15,124
2006-04-16,130
2006-04-17,200
2006-04-18,235
2006-04-19,236
2006-04-20,235
2006-04-21,237
2006-04-22,126
2006-04-23,134
2006-04-24,235
2006-04-25,225
2006-04-26,236
2006-04-27,232
2006-04-28,237
2006-04-29,142
2006-04-30,140
2006-05-01,236
2006-05-02,236
2006-05-03,240
2006-05-04,235
2006-05-05,240
2006-05-06,110
2006-05-07,120
2006-05-08,231
2006-05-09,231
2006-05-10,235
2006-05-11,239
2006-05-12,237
2006-05-13,159
2006-05-14,152
2006-05-15,235
2006-05-16,234
2006-05-17,234
2006-05-18,240
2006-05-19,233
2006-05-20,128
2006-05-21,128
2006-05-22,238
2006-05-23,239
2006-05-24,235
2006-05-25,242
2006-05-26,237
2006-05-27,162
2006-05-28,139
2006-05-29,237
2006-05-30,239
2006-05-31,242
2006-06-01,238
2006-06-02,233
2006-06-03,137
2006-06-04,128
2006-06-05,246
2006-06-06,241
2006-06-07,237
2006-06-08,243
2006-06-09,240
2006-06-10,147
2006-06-11,144
2006-06-12,236
2006-06-13,238
2006-06-14,239
2006-06-15,239
2006-06-16,239
2006-06-17,143
2006-06-18,133
2006-06-19,240
2006-06-20,240
2006-06-21,237
2006-06-22,240
2006-06-23,238
2006-06-24,154
2006-06-25,169
2006-06-27,245
2006-06-28,237
2006-06-29,239
2006-06-30,233
2006-07-01,170
2006-07-02,157
2006-07-03,238
2006-07-04,239
2006-07-05,233
2006-07-06,238
2006-07-07,242
2006-07-08,121
2006-07-09,124
2006-07-10,239
2006-07-11,235
2006-07-12,238
2006-07-13,237
2006-07-14,234
2006-07-15,150
2006-07-16,137
2006-07-17,237
2006-07-18,234
2006-07-19,235
2006-07-20,241
2006-07-21,234
2006-07-22,126
2006-07-23,117
2006-07-24,237
2006-07-25,229
2006-07-26,235
2006-07-27,241
2006-07-28,238
2006-07-29,143
2006-07-30,139
2006-07-31,235
2006-08-01,236
2006-08-02,230
2006-08-03,236
2006-08-04,233
2006-08-05,128
2006-08-06,141
2006-08-07,229
2006-08-08,233
2006-08-09,234
2006-08-10,228
2006-08-11,235
2006-08-12,146
2006-08-13,157
2006-08-14,233
2006-08-15,238
2006-08-16,235
2006-08-17,238
2006-08-18,237
2006-08-19,144
2006-08-20,140
2006-08-21,230
2006-08-22,237
2006-08-23,240
2006-08-24,239
2006-08-25,235
2006-08-26,151
2006-08-27,138
2006-08-28,236
2006-08-29,239
2006-08-30,236
2006-08-31,239
2006-09-01,185
2006-09-02,19
2006-09-03,24
2006-09-04,25
2006-09-05,23
2006-09-06,24
2006-09-07,25
2006-09-08,23
2006-09-09,25
2006-09-10,24
2006-09-11,24
2006-09-12,24
2006-09-13,24
2006-09-14,143
2006-09-15,234
2006-09-16,122
2006-09-17,121
2006-09-18,233
2006-09-19,231
2006-09-20,240
2006-09-21,85
2006-09-22,236
2006-09-23,132
2006-09-24,123
2006-09-25,237
2006-09-26,234
2006-09-27,235
2006-09-28,24
2006-09-29,23
2006-09-30,25
2006-10-01,22
2006-10-02,25
2006-10-03,25
2006-10-04,23
2006-10-05,25
2006-10-06,23
2006-10-07,23
2006-10-08,23
2006-10-09,25
2006-10-10,122
2006-10-11,242
2006-10-12,240
2006-10-13,231
2006-10-14,137
2006-10-15,128
2006-10-16,235
2006-10-17,230
2006-10-18,230
2006-10-19,239
2006-10-20,231
2006-10-21,130
2006-10-22,131
2006-10-23,92
2006-10-24,24
2006-10-25,23
2006-10-26,24
2006-10-27,22
2006-10-28,21
2006-10-29,23
2006-10-30,25
2006-11-01,24
2006-11-02,24
2006-11-03,23
2006-11-04,21
2006-11-05,21
2006-11-06,241
2006-11-07,237
2006-11-08,240
2006-11-09,240
2006-11-10,239
2006-11-11,144
2006-11-12,153
2006-11-13,235
2006-11-14,237
2006-11-15,235
2006-11-16,239
2006-11-17,242
2006-11-18,146
2006-11-19,158
2006-11-20,239
2006-11-21,239
2006-11-22,241
2006-11-23,240
2006-11-24,231
2006-11-25,162
2006-11-26,163
2006-11-27,234
2006-11-28,239
2006-11-29,235
2006-11-30,239
2006-12-01,233
2006-12-02,123
2006-12-03,128
2006-12-04,233
2006-12-05,240
2006-12-06,237
2006-12-07,240
2006-12-08,240
2006-12-09,129
2006-12-10,143
2006-12-11,233
2006-12-12,238
2006-12-13,237
2006-12-14,238
2006-12-15,235
2006-12-16,140
2006-12-17,143
2006-12-18,241
2006-12-19,239
2006-12-20,242
2006-12-21,239
2006-12-22,238
2006-12-23,105
2006-12-24,76
2006-12-25,53
2006-12-26,98
2006-12-27,108
2006-12-28,125
2006-12-29,161
2006-12-30,112
2006-12-31,99
2007-01-01,111
2007-01-02,203
2007-01-03,231
2007-01-04,233
2007-01-05,243
2007-01-06,128
2007-01-07,124
2007-01-08,235
