date,total_headlines,oil_headlines,market_price_headlines,supply_geopolitics_headlines,consumer_fuel_headlines,oil_share,oil_share_per_1000,market_price_share,market_price_share_per_1000,supply_geopolitics_share,supply_geopolitics_share_per_1000,consumer_fuel_share,consumer_fuel_share_per_1000
2003-02-19,198,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-20,250,2,1,0,1,0.008,8.0,0.004,4.0,0.0,0.0,0.004,4.0
2003-02-21,250,3,0,0,3,0.012,12.0,0.0,0.0,0.0,0.0,0.012,12.0
2003-02-22,126,2,1,0,1,0.015873015873015872,15.873015873015872,0.007936507936507936,7.936507936507936,0.0,0.0,0.007936507936507936,7.936507936507936
2003-02-23,136,1,0,1,0,0.007352941176470588,7.352941176470588,0.0,0.0,0.007352941176470588,7.352941176470588,0.0,0.0
2003-02-24,250,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-25,250,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-26,250,4,0,1,3,0.016,16.0,0.0,0.0,0.004,4.0,0.012,12.0
2003-02-27,221,2,2,0,0,0.00904977375565611,9.04977375565611,0.00904977375565611,9.04977375565611,0.0,0.0,0.0,0.0
2003-02-28,249,3,2,0,1,0.012048192771084338,12.048192771084338,0.008032128514056224,8.032128514056224,0.0,0.0,0.004016064257028112,4.016064257028112
2003-03-01,176,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-02,168,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-03,232,1,0,0,1,0.004310344827586207,4.310344827586206,0.0,0.0,0.0,0.0,0.004310344827586207,4.310344827586206
2003-03-04,215,1,0,0,1,0.004651162790697674,4.651162790697675,0.0,0.0,0.0,0.0,0.004651162790697674,4.651162790697675
2003-03-05,239,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-06,214,1,0,1,0,0.004672897196261682,4.672897196261682,0.0,0.0,0.004672897196261682,4.672897196261682,0.0,0.0
2003-03-07,209,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-08,124,1,0,1,0,0.008064516129032258,8.064516129032258,0.0,0.0,0.008064516129032258,8.064516129032258,0.0,0.0
2003-03-09,164,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-10,217,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-11,220,1,0,1,0,0.004545454545454545,4.545454545454545,0.0,0.0,0.004545454545454545,4.545454545454545,0.0,0.0
2003-03-12,226,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-13,224,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-14,229,1,0,0,1,0.004366812227074236,4.366812227074235,0.0,0.0,0.0,0.0,0.004366812227074236,4.366812227074235
