date,brent_price,price_change,daily_return,daily_return_pct,absolute_return,absolute_return_pct,return_direction,is_extreme_p90,is_extreme_p95,is_extreme_p99,total_headlines,oil_headlines,market_price_headlines,supply_geopolitics_headlines,consumer_fuel_headlines,oil_share,market_price_share,supply_geopolitics_share,consumer_fuel_share
2020-04-22,13.77,4.65,0.5098684210526316,50.986842105263165,0.5098684210526316,50.986842105263165,increase,True,True,True,128,3,3,1,1,0.0234375,0.0234375,0.0078125,0.0078125
2020-04-21,9.12,-8.24,-0.4746543778801844,-47.46543778801844,0.4746543778801844,47.46543778801844,decrease,True,True,True,124,4,3,0,2,0.032258064516129,0.0241935483870967,0.0,0.0161290322580645
2020-04-02,20.24,5.269999999999998,0.35203740814963247,35.20374081496325,0.35203740814963247,35.20374081496325,increase,True,True,True,108,0,0,0,0,0.0,0.0,0.0,0.0
2020-05-05,25.46,5.060000000000002,0.24803921568627474,24.803921568627473,0.24803921568627474,24.803921568627473,increase,True,True,True,129,2,0,0,2,0.0155038759689922,0.0,0.0,0.0155038759689922
2020-03-31,14.85,-4.340000000000002,-0.2261594580510683,-22.61594580510683,0.2261594580510683,22.61594580510683,decrease,True,True,True,122,0,0,0,0,0.0,0.0,0.0,0.0
2020-03-09,35.33,-10.270000000000003,-0.22521929824561404,-22.521929824561404,0.22521929824561404,22.521929824561404,decrease,True,True,True,72,1,1,0,1,0.0138888888888888,0.0138888888888888,0.0,0.0138888888888888
2020-04-03,24.33,4.09,0.20207509881422925,20.207509881422926,0.20207509881422925,20.207509881422926,increase,True,True,True,106,0,0,0,0,0.0,0.0,0.0,0.0
2009-01-02,42.94,7.119999999999997,0.19877163595756553,19.877163595756553,0.19877163595756553,19.877163595756553,increase,True,True,True,229,0,0,0,0,0.0,0.0,0.0,0.0
2020-04-09,20.23,-4.989999999999998,-0.19785884218873906,-19.785884218873907,0.19785884218873906,19.785884218873907,decrease,True,True,True,122,0,0,0,0,0.0,0.0,0.0,0.0
2020-03-18,22.79,-5.18,-0.18519842688594923,-18.519842688594924,0.18519842688594923,18.519842688594924,decrease,True,True,True,124,0,0,0,0,0.0,0.0,0.0,0.0
2008-12-05,37.04,-6.789999999999999,-0.1549167237052247,-15.491672370522469,0.1549167237052247,15.491672370522469,decrease,True,True,True,245,0,0,0,0,0.0,0.0,0.0,0.0
2020-04-29,17.86,2.26,0.1448717948717948,14.48717948717948,0.1448717948717948,14.48717948717948,increase,True,True,True,125,2,1,0,1,0.016,0.008,0.0,0.008
2020-03-30,19.19,-3.1999999999999993,-0.14292094685127288,-14.292094685127289,0.14292094685127288,14.292094685127289,decrease,True,True,True,87,0,0,0,0,0.0,0.0,0.0,0.0
2020-04-08,25.22,3.1199999999999974,0.14117647058823524,14.117647058823524,0.14117647058823524,14.117647058823524,increase,True,True,True,118,1,0,0,1,0.0084745762711864,0.0,0.0,0.0084745762711864
