date,sentiment_headline_count,mean_sentiment,median_sentiment,mean_positive_score,mean_negative_score,mean_neutral_score,positive_headlines,negative_headlines,neutral_headlines,positive_headline_share,negative_headline_share,neutral_headline_share,market_headline_count,market_mean_sentiment,market_median_sentiment,market_mean_positive_score,market_mean_negative_score,market_mean_neutral_score,market_positive_headlines,market_negative_headlines,market_neutral_headlines,market_positive_headline_share,market_negative_headline_share,market_neutral_headline_share,supply_headline_count,supply_mean_sentiment,supply_median_sentiment,supply_mean_positive_score,supply_mean_negative_score,supply_mean_neutral_score,supply_positive_headlines,supply_negative_headlines,supply_neutral_headlines,supply_positive_headline_share,supply_negative_headline_share,supply_neutral_headline_share,consumer_headline_count,consumer_mean_sentiment,consumer_median_sentiment,consumer_mean_positive_score,consumer_mean_negative_score,consumer_mean_neutral_score,consumer_positive_headlines,consumer_negative_headlines,consumer_neutral_headlines,consumer_positive_headline_share,consumer_negative_headline_share,consumer_neutral_headline_share
2003-02-20,2,0.0,0.0,0.0,0.0,1.0,0,0,2,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-02-21,3,-0.1744,-0.25,0.0,0.16033333333333333,0.8396666666666667,0,2,1,0.0,0.6666666666666666,0.3333333333333333,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,3,-0.1744,-0.25,0.0,0.16033333333333333,0.8396666666666667,0,2,1,0.0,0.6666666666666666,0.3333333333333333
2003-02-22,2,0.2294,0.2294,0.15,0.0,0.85,1,0,1,0.5,0.0,0.5,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.4588,0.4588,0.3,0.0,0.7,1,0,0,1.0,0.0,0.0
2003-02-23,1,0.4847,0.4847,0.344,0.0,0.656,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,1,0.4847,0.4847,0.344,0.0,0.656,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,
2003-02-26,4,-0.16297499999999998,-0.125,0.0,0.15775,0.8422499999999999,0,2,2,0.0,0.5,0.5,0,,,,,,0,0,0,,,,1,-0.4019,-0.4019,0.0,0.381,0.619,0,1,0,0.0,1.0,0.0,3,-0.08333333333333333,0.0,0.0,0.08333333333333333,0.9166666666666666,0,1,2,0.0,0.3333333333333333,0.6666666666666666
2003-02-27,2,0.17,0.17,0.1475,0.085,0.768,1,0,1,0.5,0.0,0.5,2,0.17,0.17,0.1475,0.085,0.768,1,0,1,0.5,0.0,0.5,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,
2003-02-28,3,0.0,0.0,0.0,0.0,1.0,0,0,3,0.0,0.0,1.0,2,0.0,0.0,0.0,0.0,1.0,0,0,2,0.0,0.0,1.0,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-03-03,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-03-04,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,,,,,,0,0,0,,,,0,,,,,,0,0,0,,,,1,0.0,0.0,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0
2003-03-06,1,0.4939,0.4939,0.39,0.0,0.61,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,,1,0.4939,0.4939,0.39,0.0,0.61,1,0,0,1.0,0.0,0.0,0,,,,,,0,0,0,,,
