metric,metric_label,market_day_group,n_days,mean_rate,median_rate,standard_deviation,days_with_any_coverage,any_coverage_rate
all_oil,All oil coverage,normal,4542,2.2203126885580073,0.0,4.608645147630825,1345,0.2961250550418318
all_oil,All oil coverage,extreme_increase,130,3.9973450002085937,0.0,6.695592298554429,53,0.4076923076923077
all_oil,All oil coverage,extreme_decrease,110,2.865522854127203,0.0,5.483300736572503,37,0.33636363636363636
market_prices,Market and prices,normal,4542,0.5809569682718224,0.0,2.134491835588436,431,0.09489211800968736
market_prices,Market and prices,extreme_increase,130,1.7511576642826727,0.0,4.016336279316642,29,0.2230769230769231
market_prices,Market and prices,extreme_decrease,110,1.0285876549904387,0.0,3.289115706417116,16,0.14545454545454545
supply_geopolitics,Supply and geopolitics,normal,4542,0.5958185586590892,0.0,2.034953981737601,496,0.10920299427564949
supply_geopolitics,Supply and geopolitics,extreme_increase,130,1.0003371659677844,0.0,4.252771231310446,14,0.1076923076923077
supply_geopolitics,Supply and geopolitics,extreme_decrease,110,0.756403183984535,0.0,2.7589565923606845,12,0.10909090909090909
consumer_fuel,Consumer fuel,normal,4542,1.1524155632452457,0.0,3.218977969521556,790,0.17393218846323205
consumer_fuel,Consumer fuel,extreme_increase,130,1.7224029476234652,0.0,3.6375535680758935,31,0.23846153846153847
consumer_fuel,Consumer fuel,extreme_decrease,110,1.3563130250813282,0.0,3.18478399653101,21,0.19090909090909092
