threshold,flag_column,metric,metric_label,n_extreme_days,n_non_extreme_days,extreme_mean_rate,non_extreme_mean_rate,mean_difference,mean_ratio,extreme_any_coverage_rate,non_extreme_any_coverage_rate
p90,is_extreme_p90,all_oil,All oil coverage,479,4303,3.0573370628414773,2.197317718408206,0.8600193444332711,1.3913950801144457,0.348643006263048,0.2946781315361376
p90,is_extreme_p90,market_prices,Market and prices,479,4303,1.0746579337200548,0.5727958489529182,0.5018620847671366,1.8761622237391387,0.1524008350730689,0.09365558912386707
p90,is_extreme_p90,supply_geopolitics,Supply and geopolitics,479,4303,0.8440064741159043,0.5845170750969498,0.2594893990189545,1.4439380987731023,0.11899791231732777,0.1080641412967697
p90,is_extreme_p90,consumer_fuel,Consumer fuel,479,4303,1.3949765957980487,1.1478467382808828,0.24712985751716587,1.2152986537970125,0.19832985386221294,0.17359981408319777
p95,is_extreme_p95,all_oil,All oil coverage,240,4542,3.478593183254623,2.2203126885580073,1.2582804946966157,1.5667131936780545,0.375,0.2961250550418318
p95,is_extreme_p95,market_prices,Market and prices,240,4542,1.4199797433570656,0.5809569682718224,0.8390227750852431,2.44420812712014,0.1875,0.09489211800968736
p95,is_extreme_p95,supply_geopolitics,Supply and geopolitics,240,4542,0.8885340908921285,0.5958185586590892,0.29271553223303937,1.4912830055039006,0.10833333333333334,0.10920299427564949
p95,is_extreme_p95,consumer_fuel,Consumer fuel,240,4542,1.554611733124986,1.1524155632452457,0.4021961698797403,1.3490027232425954,0.21666666666666667,0.17393218846323205
p99,is_extreme_p99,all_oil,All oil coverage,48,4734,4.632470177072817,2.259645971041843,2.3728242060309745,2.050086711121809,0.375,0.2993240388677651
p99,is_extreme_p99,market_prices,Market and prices,48,4734,2.870440373065104,0.6002789502300778,2.2701614228350264,4.781844127575868,0.25,0.09801436417406
p99,is_extreme_p99,supply_geopolitics,Supply and geopolitics,48,4734,0.8997162048691583,0.6075770378981777,0.2921391669709805,1.4808265433822063,0.10416666666666667,0.10920997042670047
p99,is_extreme_p99,consumer_fuel,Consumer fuel,48,4734,2.2669779642127015,1.1615047236856135,1.105473240527088,1.9517595735807858,0.25,0.17532741867342627
