event_id,episode_first_extreme_date,episode_last_extreme_date,n_p95_extreme_days_in_episode,anchor_date,anchor_position,anchor_brent_price,anchor_daily_return_pct,anchor_absolute_return_pct,anchor_direction,event_window_complete
1,2003-03-14,2003-04-02,6,2003-03-21,21,25.59,-8.607142857142858,8.607142857142858,decrease,True
2,2003-06-30,2003-06-30,1,2003-06-30,92,28.88,5.2094717668488055,5.2094717668488055,increase,True
3,2003-09-02,2003-09-02,1,2003-09-02,138,28.08,-5.263157894736848,5.263157894736848,decrease,True
4,2003-11-24,2004-01-05,4,2004-01-05,224,32.3,9.306260575296088,9.306260575296088,increase,True
5,2004-03-15,2004-03-15,1,2004-03-15,274,34.39,4.97557997557998,4.97557997557998,increase,True
6,2004-04-07,2004-04-07,1,2004-04-07,291,33.07,5.050825921219815,5.050825921219815,increase,True
7,2004-06-01,2004-06-03,2,2004-06-01,329,39.05,5.54054054054054,5.54054054054054,increase,True
8,2004-07-01,2004-07-01,1,2004-07-01,351,35.58,7.104154124021678,7.104154124021678,increase,True
9,2004-09-02,2004-09-02,1,2004-09-02,395,42.39,6.507537688442211,6.507537688442211,increase,True
10,2004-09-17,2004-09-17,1,2004-09-17,406,43.08,5.899705014749257,5.899705014749257,increase,True
11,2004-11-15,2004-11-15,1,2004-11-15,447,39.32,-4.863295427050563,4.863295427050563,decrease,True
12,2004-12-01,2005-01-13,6,2004-12-15,469,41.53,12.152308938698342,12.152308938698342,increase,True
13,2005-03-23,2005-03-31,2,2005-03-23,538,51.52,-6.986820725762765,6.986820725762765,decrease,True
14,2005-04-19,2005-04-19,1,2005-04-19,556,50.79,4.549197200494026,4.549197200494026,increase,True
15,2005-06-17,2005-06-17,1,2005-06-17,598,56.92,4.825046040515657,4.825046040515657,increase,True
16,2005-07-11,2005-07-12,2,2005-07-12,615,58.95,5.080213903743314,5.080213903743314,increase,True
17,2005-09-19,2005-09-19,1,2005-09-19,664,64.04,5.886243386243395,5.886243386243395,increase,True
18,2006-01-03,2006-01-03,1,2006-01-03,738,61.51,5.433664724031528,5.433664724031528,increase,True
19,2006-06-09,2006-06-09,1,2006-06-09,849,69.13,5.124695863746953,5.124695863746953,increase,True
20,2006-07-19,2006-07-19,1,2006-07-19,876,71.62,-4.912373871481668,4.912373871481668,decrease,True
21,2006-09-20,2006-09-28,2,2006-09-20,921,59.09,-5.48624440179143,5.48624440179143,decrease,True
22,2007-02-16,2007-02-16,1,2007-02-16,1023,56.78,4.663594470046095,4.663594470046095,increase,True
23,2007-10-29,2007-10-29,1,2007-10-29,1198,89.87,6.091370558375653,6.091370558375653,increase,True
24,2008-06-06,2008-06-06,1,2008-06-06,1348,132.81,8.54037267080745,8.54037267080745,increase,True
25,2008-07-11,2008-07-11,1,2008-07-11,1372,143.68,5.794860466828666,5.794860466828666,increase,True
26,2008-08-21,2009-04-02,45,2009-01-02,1493,42.94,19.877163595756556,19.877163595756556,increase,True
27,2009-04-20,2009-04-20,1,2009-04-20,1566,49.06,-5.690119184928877,5.690119184928877,decrease,True
28,2009-06-22,2009-06-22,1,2009-06-22,1610,66.13,-6.1719636776390585,6.1719636776390585,decrease,True
29,2009-07-30,2009-07-30,1,2009-07-30,1637,68.82,4.605563155494741,4.605563155494741,increase,True
30,2009-08-19,2009-09-08,3,2009-08-19,1651,72.81,6.044276143314886,6.044276143314886,increase,True
31,2009-10-06,2009-10-06,1,2009-10-06,1684,68.51,4.980079681274896,4.980079681274896,increase,True
32,2010-02-04,2010-02-16,2,2010-02-04,1767,71.3,-5.899432493071133,5.899432493071133,decrease,True
33,2010-05-07,2010-05-07,1,2010-05-07,1831,76.48,-4.650292980925064,4.650292980925064,decrease,True
34,2010-05-26,2010-05-26,1,2010-05-26,1844,70.59,5.07591545102708,5.07591545102708,increase,True
35,2010-08-02,2010-08-02,1,2010-08-02,1890,81.93,5.716129032258066,5.716129032258066,increase,True
36,2010-08-26,2010-08-26,1,2010-08-26,1908,74.5,5.315238903025166,5.315238903025166,increase,True
37,2011-02-22,2011-02-22,1,2011-02-22,2031,106.82,4.520547945205466,4.520547945205466,increase,True
38,2011-05-05,2011-05-05,1,2011-05-05,2080,111.93,-7.914438502673793,7.914438502673793,decrease,True
39,2011-06-15,2011-06-23,2,2011-06-15,2108,114.67,-4.719567926879931,4.719567926879931,decrease,True
40,2012-06-01,2012-06-01,1,2012-06-01,2346,98.63,-5.035624879645684,5.035624879645684,decrease,True
41,2012-06-21,2012-07-03,2,2012-07-03,2368,99.89,4.83837111670864,4.83837111670864,increase,True
42,2014-11-28,2014-11-28,1,2014-11-28,2977,71.89,-7.106861351595817,7.106861351595817,decrease,True
43,2015-01-05,2015-01-05,1,2015-01-05,3001,51.08,-7.764535933550021,7.764535933550021,decrease,True
44,2015-02-02,2015-02-13,4,2015-02-02,3020,51.74,8.880471380471366,8.880471380471366,increase,True
45,2015-03-10,2015-03-26,3,2015-03-26,3058,57.02,5.2417866371354815,5.2417866371354815,increase,True
46,2015-05-26,2015-05-29,2,2015-05-29,3102,63.16,5.056553559547572,5.056553559547572,increase,True
47,2015-08-03,2015-08-03,1,2015-08-03,3148,49.49,-7.130793769938071,7.130793769938071,decrease,True
48,2015-08-24,2015-09-16,6,2015-08-28,3167,47.97,7.8947368421052655,7.8947368421052655,increase,True
49,2015-10-05,2015-10-05,1,2015-10-05,3192,49.45,6.229860365198725,6.229860365198725,increase,True
50,2015-10-28,2015-10-28,1,2015-10-28,3209,47.6,4.52349582784366,4.52349582784366,increase,True
51,2015-11-13,2015-11-13,1,2015-11-13,3221,41.98,-6.66963094708759,6.66963094708759,decrease,True
52,2016-01-06,2016-03-04,16,2016-01-22,3269,30.46,10.40231968104386,10.40231968104386,increase,True
53,2016-04-06,2016-04-08,2,2016-04-08,3322,40.71,9.5827725437416,9.5827725437416,increase,True
54,2016-05-03,2016-05-11,3,2016-05-03,3339,43.09,-5.958096900916621,5.958096900916621,decrease,True
55,2016-06-20,2016-07-12,4,2016-07-12,3388,46.72,6.0853769300635685,6.0853769300635685,increase,True
56,2016-08-11,2016-08-15,2,2016-08-15,3412,47.31,4.853723404255339,4.853723404255339,increase,True
57,2016-09-01,2016-09-08,2,2016-09-01,3425,45.05,-6.028368794326244,6.028368794326244,decrease,True
58,2016-09-29,2016-09-29,1,2016-09-29,3445,48.43,6.462958892064186,6.462958892064186,increase,True
59,2016-11-11,2016-11-15,2,2016-11-15,3478,44.15,5.546258666029158,5.546258666029158,increase,True
60,2016-11-30,2016-12-01,2,2016-12-01,3490,52.28,9.030239833159538,9.030239833159538,increase,True
61,2016-12-16,2016-12-16,1,2016-12-16,3501,54.15,4.698375870069604,4.698375870069604,increase,True
62,2017-03-09,2017-03-09,1,2017-03-09,3557,50.65,-4.971857410881797,4.971857410881797,decrease,True
63,2017-06-27,2017-06-27,1,2017-06-27,3634,46.17,4.7176230437741,4.7176230437741,increase,True
64,2017-11-06,2017-11-06,1,2017-11-06,3728,64.27,4.640182351025723,4.640182351025723,increase,True
65,2018-05-09,2018-05-09,1,2018-05-09,3854,77.6,4.638619201725991,4.638619201725991,increase,True
66,2018-11-01,2019-01-04,8,2019-01-02,4018,54.06,6.901324896183514,6.901324896183514,increase,True
67,2019-04-23,2019-04-26,2,2019-04-26,4099,71.03,-5.217507339204697,5.217507339204697,decrease,True
68,2019-05-23,2019-06-03,2,2019-06-03,4124,63.16,-5.420784666067691,5.420784666067691,decrease,True
69,2019-07-18,2019-07-18,1,2019-07-18,4157,60.7,-4.664677242029214,4.664677242029214,decrease,True
70,2019-08-07,2019-08-13,2,2019-08-07,4171,55.03,-6.140201262152489,6.140201262152489,decrease,True
71,2019-09-04,2019-09-16,2,2019-09-16,4199,68.42,11.706122448979595,11.706122448979595,increase,True
72,2020-02-03,2020-02-03,1,2020-02-03,4296,54.0,-6.525878483642034,6.525878483642034,decrease,True
73,2020-02-27,2020-06-24,41,2020-04-22,4351,13.77,50.986842105263165,50.986842105263165,increase,True
74,2020-09-02,2020-09-08,2,2020-09-02,4443,42.7,-6.605424321959752,6.605424321959752,decrease,True
75,2020-10-05,2020-10-05,1,2020-10-05,4466,39.78,4.684210526315802,4.684210526315802,increase,True
76,2020-10-28,2020-11-09,2,2020-11-09,4491,40.93,7.484243697478998,7.484243697478998,increase,True
77,2021-01-05,2021-01-05,1,2021-01-05,4530,53.16,5.539011316259668,5.539011316259668,increase,True
78,2021-03-18,2021-03-24,3,2021-03-18,4582,62.11,-8.297652443525772,8.297652443525772,decrease,True
79,2021-04-14,2021-04-14,1,2021-04-14,4599,66.11,5.220436097405701,5.220436097405701,increase,True
80,2021-07-19,2021-08-02,2,2021-07-19,4665,69.33,-6.88960515713134,6.88960515713134,decrease,True
81,2021-08-23,2021-08-23,1,2021-08-23,4690,69.07,5.43428484200883,5.43428484200883,increase,True
82,2021-11-26,2021-11-26,1,2021-11-26,4758,72.37,-11.79768433881778,11.79768433881778,decrease,True
