metric,metric_label,relative_trading_day,interpretation,n_pairs,spearman_rho,p_value,fdr_p_value
all_oil,All oil coverage,-5,news_before_market,4777,0.05207081691742106,0.00031770461209004817,0.0008736876832476325
all_oil,All oil coverage,-4,news_before_market,4778,0.05375074829170815,0.0002014970061811065,0.0007388223559973905
all_oil,All oil coverage,-3,news_before_market,4779,0.02781929370488612,0.05447684534722645,0.07490566235243637
all_oil,All oil coverage,-2,news_before_market,4780,0.04434217023088287,0.0021664227967910037,0.003971775127450173
all_oil,All oil coverage,-1,news_before_market,4781,0.010817772918946552,0.45456947671289016,0.45456947671289016
all_oil,All oil coverage,0,same_day,4782,0.05673553007279714,8.65454317159555e-05,0.00047599987443775523
all_oil,All oil coverage,1,news_after_market,4781,0.0827648324918207,9.978509499654515e-09,1.0976360449619966e-07
all_oil,All oil coverage,2,news_after_market,4780,0.04951087784632531,0.0006164641258929193,0.0013562210769644226
all_oil,All oil coverage,3,news_after_market,4779,0.019467135155923052,0.1784494365377145,0.20560852083908526
all_oil,All oil coverage,4,news_after_market,4778,0.01909608258846478,0.18691683712644114,0.20560852083908526
all_oil,All oil coverage,5,news_after_market,4777,0.03244544363920925,0.024929220822548344,0.039174489864004534
market_prices,Market and prices,-5,news_before_market,4777,0.0473079160203396,0.0010728085411032616,0.001966815658689313
market_prices,Market and prices,-4,news_before_market,4778,0.065617722262983,5.641325089006443e-06,2.068485865969029e-05
market_prices,Market and prices,-3,news_before_market,4779,0.04270119575818157,0.003151902140008564,0.004333865442511776
market_prices,Market and prices,-2,news_before_market,4780,0.048229691213328735,0.0008513042408337584,0.0018728693298342685
market_prices,Market and prices,-1,news_before_market,4781,0.010038084611690017,0.4877341996089558,0.48773419960895575
market_prices,Market and prices,0,same_day,4782,0.06961103524455776,1.447649945648723e-06,7.962074701067976e-06
market_prices,Market and prices,1,news_after_market,4781,0.12128269003224122,3.930596807368554e-17,4.323656488105409e-16
market_prices,Market and prices,2,news_after_market,4780,0.04362229668147657,0.0025563905453230653,0.0040171851426505315
market_prices,Market and prices,3,news_after_market,4779,0.013276298977808505,0.35883091798275263,0.3947140097810279
market_prices,Market and prices,4,news_after_market,4778,0.021460887626834513,0.13801456346641586,0.16868446645895271
market_prices,Market and prices,5,news_after_market,4777,0.048851834501772017,0.0007312966349229329,0.0018728693298342685
supply_geopolitics,Supply and geopolitics,-5,news_before_market,4777,0.0013198260750041189,0.9273360100753396,0.9727047109714946
supply_geopolitics,Supply and geopolitics,-4,news_before_market,4778,0.006949552089840961,0.6310464055001217,0.9727047109714946
supply_geopolitics,Supply and geopolitics,-3,news_before_market,4779,0.0028077033882716387,0.8461390661043358,0.9727047109714946
supply_geopolitics,Supply and geopolitics,-2,news_before_market,4780,0.0071113084420289,0.6230473767083458,0.9727047109714946
supply_geopolitics,Supply and geopolitics,-1,news_before_market,4781,0.0037776229937935913,0.7939879961390289,0.9727047109714946
supply_geopolitics,Supply and geopolitics,0,same_day,4782,0.023441499606410333,0.10505503532282214,0.38520179618368117
supply_geopolitics,Supply and geopolitics,1,news_after_market,4781,0.030787164078824047,0.033277475319741436,0.3660522285171558
supply_geopolitics,Supply and geopolitics,2,news_after_market,4780,0.02468634642625097,0.0879025564139583,0.38520179618368117
supply_geopolitics,Supply and geopolitics,3,news_after_market,4779,-0.0004950823597323457,0.9727047109714946,0.9727047109714946
supply_geopolitics,Supply and geopolitics,4,news_after_market,4778,0.01937145586953297,0.1806390699017735,0.4639015709152776
supply_geopolitics,Supply and geopolitics,5,news_after_market,4777,0.018106082352157056,0.2108643504160353,0.4639015709152776
consumer_fuel,Consumer fuel,-5,news_before_market,4777,0.0486934406658041,0.0007609973036218448,0.008370970339840293
consumer_fuel,Consumer fuel,-4,news_before_market,4778,0.027703981560598733,0.05551151449707451,0.10177110991130327
consumer_fuel,Consumer fuel,-3,news_before_market,4779,0.026586317800421828,0.06609711901209714,0.10386690130472408
consumer_fuel,Consumer fuel,-2,news_before_market,4780,0.03752083374045389,0.009477455604647906,0.0422561900392406
consumer_fuel,Consumer fuel,-1,news_before_market,4781,0.013151516266055395,0.3632655825599203,0.4439912675732359
consumer_fuel,Consumer fuel,0,same_day,4782,0.03243581973654641,0.024896441754597556,0.06846521482514328
consumer_fuel,Consumer fuel,1,news_after_market,4781,0.03094528936472665,0.03238241675169143,0.07124131685372115
consumer_fuel,Consumer fuel,2,news_after_market,4780,0.036538742833506895,0.011524415465247437,0.0422561900392406
consumer_fuel,Consumer fuel,3,news_after_market,4779,0.01697684618023552,0.2406385575699122,0.33087801665862926
consumer_fuel,Consumer fuel,4,news_after_market,4778,0.007721473047125404,0.593618105594156,0.593618105594156
consumer_fuel,Consumer fuel,5,news_after_market,4777,0.011356681808226885,0.43260218720598603,0.4758624059265847
