date,headline_text,match_reason
2003-02-20,fuel price jumps in newcastle,fuel_prices
2003-02-20,oil prices hit new high,oil_market_phrase
2003-02-21,accc too timid in petrol price investigations,fuel_prices
2003-02-21,claim low oil inventory causing high petrol prices,fuel_prices
2003-02-21,petrol prices on the rise,fuel_prices
2003-02-22,oil price hikes may weigh on rates decision,oil_market_phrase
2003-02-22,petrol price hike compared to interest rate rise,fuel_prices
2003-02-23,opec pledges oil will flow despite war,opec
2003-02-26,fuel prices almost doubled in zimbabwe,fuel_prices
2003-02-26,king islanders resigned to high fuel prices,fuel_prices
2003-02-27,oil prices hit 12 year high,oil_market_phrase
2003-02-27,strong dollar should offset oil price ract protests,oil_market_phrase
2003-02-28,fuel prices tipped to jump further,fuel_prices
2003-02-28,oil price approaches usd 40 mark,oil_market_phrase
2003-02-28,oil prices contribute to massive caltex turnaround,oil_market_phrase
2003-03-03,qld petrol prices cheaper than nsw survey,fuel_prices
2003-03-04,petrol prices soar in north west victoria,fuel_prices
2003-03-13,major oil producers accused of boycotting oil forum,oil_market_phrase
2003-03-14,act residents slugged with petrol price hike,fuel_prices
2003-03-19,farmers benefiting from steadying crude oil market,crude_oil
2003-03-19,war tipped to send fuel price higher,fuel_prices
2003-03-20,oil supply will continue says opec,opec
2003-03-21,oil prices edging up on possibility of longer war,oil_market_phrase
2003-03-22,burning wells may not push oil price up,oil_market_phrase
2003-03-23,iraq war could push petrol prices down,fuel_prices
2003-03-24,oil jumps as war confidence slides,oil_price_movement
2003-03-25,petrol prices expected to drop,fuel_prices
2003-03-28,accc drops oil industry investigation,oil_market_phrase
2003-03-28,petrol prices fall in albany,fuel_prices
2003-03-29,analyst predicts lower petrol prices,fuel_prices
2003-03-31,oil firm considers cliff head production,oil_with_market_context
2003-03-31,racq hopes central qld fuel prices to fall soon,fuel_prices
2003-04-02,raa predicts drop in country fuel prices,fuel_prices
2003-04-08,port stanvac oil refinery to stop production,oil_market_phrase
2003-04-12,petroleum institute welcomes cwealth ethanol cap,petroleum
2003-04-12,rann condemns mobil for sa oil refinery closure,oil_market_phrase
2003-04-16,us shut down oil pipeline to syria,oil_market_phrase
2003-04-18,petrol prices no cause for alarm racq,fuel_prices
2003-04-21,ex general to head iraqs opec delegation,opec
2003-04-22,oil reduction to stop price slide expert,oil_with_market_context
2003-04-24,oil prices slump,oil_market_phrase
2003-04-25,opec cuts production to buoy oil prices,opec
2003-05-06,group says no evidence of fuel price fixing,fuel_prices
2003-05-06,shale oil production could meet aust needs spp,oil_market_phrase
2003-05-08,groups seeking more equitable fuel prices,fuel_prices
2003-05-09,oil slick tanker victims to receive payout,oil_with_market_context
2003-05-10,small business being pushed out of oil industry mta,oil_market_phrase
2003-05-16,orange council to probe fuel prices,fuel_prices
2003-05-22,fuel prices tipped to stabilise,fuel_prices
2003-05-22,iraq ready to resume oil sales once sanctions,oil_with_market_context
2003-05-25,iraq ramps up oil production,oil_market_phrase
2003-05-29,drivers enjoying lower fuel prices,fuel_prices
2003-06-04,lightning blamed for oil refinery fire,oil_market_phrase
2003-06-06,racq backs calls for regional fuel price probe,fuel_prices
2003-06-11,opec keeps oil output steady,opec
2003-06-12,competition lowering fuel prices ract,fuel_prices
2003-06-13,iraqi oil exports soon to be announced,oil_market_phrase
2003-06-14,gaddafi moves to privatise libyas oil industry,oil_market_phrase
2003-06-18,zimbabwe allows private oil imports to ease,oil_market_phrase
2003-06-19,iraqi oil exports to start on sunday official,oil_market_phrase
2003-06-21,confusion over resumption of iraq oil exports,oil_market_phrase
2003-06-22,explosion damages iraq oil pipeline,oil_market_phrase
2003-06-22,repairs delay iraq oil exports,oil_market_phrase
2003-06-26,pipeline attacks wont affect iraq oil exports,oil_market_phrase
2003-07-01,truck drivers criticise diesel price hike,fuel_prices
2003-07-04,farmers to feel fuel price rise impact,fuel_prices
2003-07-10,bendigo fuel price on the rise,fuel_prices
2003-07-19,oil industry welcomes ocean plan,oil_market_phrase
2003-08-07,tas petrol prices up almost 3 cents in july,fuel_prices
2003-08-09,oil prices slip,oil_market_phrase
2003-08-16,iraqs key oil pipeline to turkey hit by fire,oil_market_phrase
2003-08-17,fire still raging at iraqi oil export pipeline,oil_market_phrase
2003-08-17,sabotage halts iraqi oil exports,oil_market_phrase
2003-08-20,racv predicts petrol price spike wont last,fuel_prices
2003-08-21,high oil price pumps woodside profit,oil_market_phrase
2003-08-31,sheikh arrested over oil pipeline blasts,oil_market_phrase
2003-09-10,pipeline company fined for brisbane oil spill,oil_with_market_context
2003-09-15,iraq oil industry up and running,oil_market_phrase
2003-09-16,iraq to attend its first post war opec meeting,opec
2003-09-18,fire erupts at iraqi oil pipeline,oil_market_phrase
2003-09-19,warwick enjoys lowest fuel price,fuel_prices
2003-09-24,oil prices surge on opec cut,opec
2003-09-25,opec oil cut hits share market,opec
2003-09-25,petroleum exploration spending rises in wa,petroleum
2003-09-26,crude oil prices stay high after opec cut,crude_oil
2003-09-30,putin under kyoto pressure from oil companies wwf,oil_market_phrase
2003-10-05,us snipers to defend iraq oil pipeline,oil_market_phrase
2003-10-06,tasmania warns over high petrol prices,fuel_prices
2003-11-03,blast rips through oil pipeline in northern iraq,oil_market_phrase
2003-11-07,china petroleum group tours north qld,petroleum
2003-11-17,dollar should be reducing diesel prices seafood,fuel_prices
2003-11-18,pipeline explosion closes iraqi oil refinery,oil_market_phrase
2003-11-19,dollar offsets soaring oil prices,oil_market_phrase
2003-11-21,petrol price fixing charges against leahy dropped,fuel_prices
2003-12-03,mosaic oil boosts gas output,oil_with_market_context
2003-12-05,opec to maintain production ceiling,opec
2003-12-22,insurgents target iraqi oil pipelines,oil_market_phrase
2003-12-23,libya invites us oil companies back,oil_market_phrase
2004-01-08,saboteurs destroy kirkuk oil pipeline,oil_market_phrase
2004-01-09,oil company shares resume trade,oil_with_market_context
2004-01-14,high petrol prices fuel farm group frustration,fuel_prices
2004-01-19,hong kong group bids for oil and gas producer,oil_with_market_context
2004-01-21,oil tanker roll sparks road clean up,oil_market_phrase
2004-02-02,nrma questions petrol prices,fuel_prices
2004-02-03,nrma calls for fuel price investigation,fuel_prices
2004-02-11,opec slashes oil output,opec
2004-02-17,big oil reserves found in surat basin,oil_market_phrase
2004-02-17,leaky oil tanker banned from sydney,oil_market_phrase
2004-02-19,suspect oil tanker allowed to dock in sydney,oil_market_phrase
2004-02-28,supply concerns drive oil prices up,oil_market_phrase
2004-03-01,venezuelas chavez threatens us oil supplies,oil_market_phrase
2004-03-06,oil price hits post iraq war high,oil_market_phrase
2004-03-12,petroleum company to spend 13m on new exploration,petroleum
2004-03-17,oil price breaks post iraq war high,oil_market_phrase
2004-03-18,us oil surges to 13 year high,oil_price_movement
2004-03-19,oil prices ease from 13 year high,oil_market_phrase
2004-03-31,explosion rocks texan oil refinery,oil_market_phrase
2004-03-31,oil price jumps ahead of output cut,oil_market_phrase
2004-04-03,shell to investigate oil refinery blaze,oil_market_phrase
2004-04-07,petrol price hike expected for easter,fuel_prices
2004-04-10,oppn calls for reduced petrol prices,fuel_prices
2004-04-12,libs call for action on petrol prices,fuel_prices
2004-04-15,stuart petroleum gushes,petroleum
2004-04-28,education health and petrol prices expected to,fuel_prices
2004-05-01,brent oil price hits three year plus high,brent_market
2004-05-07,us markets down over iraq oil and job news,oil_with_market_context
2004-05-08,oil price hits usd 40,oil_market_phrase
2004-05-10,fears oil price hike could raise airfares,oil_market_phrase
2004-05-10,increasing fuel prices to impact on country,fuel_prices
2004-05-10,petrol prices set to increase,fuel_prices
2004-05-10,pipeline attack halts iraqi oil exports,oil_market_phrase
2004-05-12,crude oil breaks usd 40 barrier,crude_oil
2004-05-12,racq concerned over petrol prices,fuel_prices
2004-05-13,us oil price soars to record closing high,oil_market_phrase
2004-05-13,wall st steady despite oil price hike,oil_market_phrase
2004-05-14,oil prices surge to record closing high again,oil_market_phrase
2004-05-14,regional airlines threatened by fuel price hike,fuel_prices
2004-05-14,review into fuel price differences,fuel_prices
2004-05-15,attack fears cause record oil price,oil_market_phrase
2004-05-16,first sars now high oil prices threaten asian,oil_market_phrase
2004-05-16,govt not to blame for petrol price hike,fuel_prices
2004-05-16,special opec meeting may boost oil output,opec
2004-05-17,oil price hits all time high,oil_market_phrase
2004-05-17,racv tips further petrol price rises,fuel_prices
2004-05-18,fuel prices to hurt company profits,fuel_prices
2004-05-18,oil prices turn lower,oil_market_phrase
2004-05-19,petrol price hike makes lpg more attractive racv,fuel_prices
2004-05-21,crude oil prices fuel petrol price rise,crude_oil
2004-05-21,local market stronger as oil price dips,oil_market_phrase
