date,headline_text,primary_category,categories,is_market_prices,is_supply_geopolitics,is_consumer_fuel,market_match_rule,supply_match_rule,consumer_match_rule,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_label
2003-02-20,fuel price jumps in newcastle,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-02-20,oil prices hit new high,market_prices,market_prices,True,False,False,oil_price,,,0.0,0.0,0.0,1.0,neutral
2003-02-21,accc too timid in petrol price investigations,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.25,0.0,0.25,0.75,negative
2003-02-21,claim low oil inventory causing high petrol prices,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.2732,0.0,0.231,0.769,negative
2003-02-21,petrol prices on the rise,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-02-22,oil price hikes may weigh on rates decision,market_prices,market_prices,True,False,False,oil_price,,,0.0,0.0,0.0,1.0,neutral
2003-02-22,petrol price hike compared to interest rate rise,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.4588,0.3,0.0,0.7,positive
2003-02-23,opec pledges oil will flow despite war,supply_geopolitics,supply_geopolitics,False,True,False,,opec,,0.4847,0.344,0.0,0.656,positive
2003-02-26,claims rising fuel costs to lead to higher freight,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-02-26,fuel prices almost doubled in zimbabwe,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-02-26,king islanders resigned to high fuel prices,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.25,0.0,0.25,0.75,negative
2003-02-26,mahathir suggests muslim oil strike to stop iraq,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,-0.4019,0.0,0.381,0.619,negative
2003-02-27,oil prices hit 12 year high,market_prices,market_prices,True,False,False,oil_price,,,0.0,0.0,0.0,1.0,neutral
2003-02-27,strong dollar should offset oil price ract protests,market_prices,market_prices,True,False,False,oil_price,,,0.34,0.295,0.17,0.536,positive
2003-02-28,fuel prices tipped to jump further,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-02-28,oil price approaches usd 40 mark,market_prices,market_prices,True,False,False,oil_price,,,0.0,0.0,0.0,1.0,neutral
2003-02-28,oil prices contribute to massive caltex turnaround,market_prices,market_prices,True,False,False,oil_price,,,0.0,0.0,0.0,1.0,neutral
2003-03-03,qld petrol prices cheaper than nsw survey,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-03-04,petrol prices soar in north west victoria,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-03-06,traditional owners oil firm continue agreement,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.4939,0.39,0.0,0.61,positive
2003-03-08,jordan denies mid east oil deal,supply_geopolitics,supply_geopolitics,False,True,False,,oil_policy,,-0.4215,0.0,0.359,0.641,negative
2003-03-11,oil firm seeks agreement over seismic tests,supply_geopolitics,supply_geopolitics,False,True,False,,oil_industry_projects,,0.4939,0.348,0.0,0.652,positive
2003-03-14,act residents slugged with petrol price hike,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,0.0,0.0,0.0,1.0,neutral
2003-03-19,farmers benefiting from steadying crude oil market,market_prices,market_prices,True,False,False,crude_oil,,,-0.5719,0.0,0.381,0.619,negative
2003-03-19,war tipped to send fuel price higher,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_or_cost,-0.5994,0.0,0.394,0.606,negative
2003-03-20,cheaper fuel may result from iraq war,consumer_fuel,consumer_fuel,False,False,True,,,fuel_price_level,-0.5994,0.0,0.394,0.606,negative
2003-03-20,deal to fast track oil gas development,supply_geopolitics,supply_geopolitics,False,True,False,,oil_policy,,0.0,0.0,0.0,1.0,neutral
2003-03-20,iraq denies oil well fires near basra,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,-0.1779,0.212,0.283,0.505,negative
2003-03-20,oil supply will continue says opec,supply_geopolitics,supply_geopolitics,False,True,False,,opec,,0.0,0.0,0.0,1.0,neutral
2003-03-21,oil prices edging up on possibility of longer war,market_prices,market_prices;supply_geopolitics,True,True,False,oil_price,oil_geopolitical_event,,-0.5994,0.0,0.328,0.672,negative
2003-03-21,us uk say oil fires in southern iraq of unknown,supply_geopolitics,supply_geopolitics,False,True,False,,oil_geopolitical_country,,0.0,0.0,0.0,1.0,neutral
2003-03-22,burning wells may not push oil price up,market_prices,market_prices,True,False,False,oil_price,,,0.25,0.222,0.0,0.778,positive
