event_id,anchor_date,anchor_direction,anchor_absolute_return_pct,relative_trading_day,observation_date,all_oil_mean_sentiment,all_oil_negative_share,all_oil_headline_count,market_prices_mean_sentiment,market_prices_negative_share,market_prices_headline_count,supply_geopolitics_mean_sentiment,supply_geopolitics_negative_share,supply_geopolitics_headline_count,consumer_fuel_mean_sentiment,consumer_fuel_negative_share,consumer_fuel_headline_count
1,2003-03-21,decrease,8.607142857142858,-5,2003-03-14,0.0,0.0,1,,,0,,,0,0.0,0.0,1
1,2003-03-21,decrease,8.607142857142858,-4,2003-03-17,,,0,,,0,,,0,,,0
1,2003-03-21,decrease,8.607142857142858,-3,2003-03-18,,,0,,,0,,,0,,,0
1,2003-03-21,decrease,8.607142857142858,-2,2003-03-19,-0.58565,1.0,2,-0.5719,1.0,1,,,0,-0.5994,1.0,1
1,2003-03-21,decrease,8.607142857142858,-1,2003-03-20,-0.19432500000000003,0.5,4,,,0,-0.0593,0.3333333333333333,3,-0.5994,1.0,1
1,2003-03-21,decrease,8.607142857142858,0,2003-03-21,-0.2997,0.5,2,-0.5994,1.0,1,-0.2997,0.5,2,,,0
1,2003-03-21,decrease,8.607142857142858,1,2003-03-24,0.074875,0.25,4,-0.1531,1.0,1,0.074875,0.25,4,,,0
1,2003-03-21,decrease,8.607142857142858,2,2003-03-25,0.07415,0.5,2,,,0,0.4215,0.0,1,-0.2732,1.0,1
1,2003-03-21,decrease,8.607142857142858,3,2003-03-26,,,0,,,0,,,0,,,0
1,2003-03-21,decrease,8.607142857142858,4,2003-03-27,,,0,,,0,,,0,,,0
1,2003-03-21,decrease,8.607142857142858,5,2003-03-28,-0.035150000000000015,0.25,4,,,0,-0.04686666666666669,0.3333333333333333,3,0.0,0.0,1
2,2003-06-30,increase,5.2094717668488055,-5,2003-06-23,,,0,,,0,,,0,,,0
2,2003-06-30,increase,5.2094717668488055,-4,2003-06-24,,,0,,,0,,,0,,,0
2,2003-06-30,increase,5.2094717668488055,-3,2003-06-25,,,0,,,0,,,0,,,0
2,2003-06-30,increase,5.2094717668488055,-2,2003-06-26,-0.4404,1.0,1,,,0,-0.4404,1.0,1,,,0
2,2003-06-30,increase,5.2094717668488055,-1,2003-06-27,,,0,,,0,,,0,,,0
2,2003-06-30,increase,5.2094717668488055,0,2003-06-30,,,0,,,0,,,0,,,0
2,2003-06-30,increase,5.2094717668488055,1,2003-07-01,-0.4404,1.0,1,,,0,,,0,-0.4404,1.0,1
2,2003-06-30,increase,5.2094717668488055,2,2003-07-02,-0.2732,1.0,1,,,0,,,0,-0.2732,1.0,1
2,2003-06-30,increase,5.2094717668488055,3,2003-07-03,,,0,,,0,,,0,,,0
2,2003-06-30,increase,5.2094717668488055,4,2003-07-04,0.0,0.0,1,,,0,,,0,0.0,0.0,1
2,2003-06-30,increase,5.2094717668488055,5,2003-07-07,,,0,,,0,,,0,,,0
3,2003-09-02,decrease,5.263157894736848,-5,2003-08-26,0.0,0.0,1,,,0,0.0,0.0,1,,,0
3,2003-09-02,decrease,5.263157894736848,-4,2003-08-27,,,0,,,0,,,0,,,0
3,2003-09-02,decrease,5.263157894736848,-3,2003-08-28,,,0,,,0,,,0,,,0
3,2003-09-02,decrease,5.263157894736848,-2,2003-08-29,,,0,,,0,,,0,,,0
3,2003-09-02,decrease,5.263157894736848,-1,2003-09-01,,,0,,,0,,,0,,,0
3,2003-09-02,decrease,5.263157894736848,0,2003-09-02,,,0,,,0,,,0,,,0
3,2003-09-02,decrease,5.263157894736848,1,2003-09-03,,,0,,,0,,,0,,,0
3,2003-09-02,decrease,5.263157894736848,2,2003-09-04,,,0,,,0,,,0,,,0
3,2003-09-02,decrease,5.263157894736848,3,2003-09-05,,,0,,,0,,,0,,,0
3,2003-09-02,decrease,5.263157894736848,4,2003-09-08,,,0,,,0,,,0,,,0
3,2003-09-02,decrease,5.263157894736848,5,2003-09-09,,,0,,,0,,,0,,,0
4,2004-01-05,increase,9.306260575296088,-5,2003-12-24,,,0,,,0,,,0,,,0
4,2004-01-05,increase,9.306260575296088,-4,2003-12-29,,,0,,,0,,,0,,,0
4,2004-01-05,increase,9.306260575296088,-3,2003-12-30,0.0772,0.0,1,,,0,0.0772,0.0,1,,,0
4,2004-01-05,increase,9.306260575296088,-2,2003-12-31,,,0,,,0,,,0,,,0
4,2004-01-05,increase,9.306260575296088,-1,2004-01-02,0.5574,0.0,1,,,0,0.5574,0.0,1,,,0
4,2004-01-05,increase,9.306260575296088,0,2004-01-05,,,0,,,0,,,0,,,0
4,2004-01-05,increase,9.306260575296088,1,2004-01-06,,,0,,,0,,,0,,,0
4,2004-01-05,increase,9.306260575296088,2,2004-01-07,,,0,,,0,,,0,,,0
4,2004-01-05,increase,9.306260575296088,3,2004-01-08,,,0,,,0,,,0,,,0
4,2004-01-05,increase,9.306260575296088,4,2004-01-09,0.296,0.0,1,0.296,0.0,1,0.296,0.0,1,,,0
4,2004-01-05,increase,9.306260575296088,5,2004-01-12,,,0,,,0,,,0,,,0
5,2004-03-15,increase,4.97557997557998,-5,2004-03-08,,,0,,,0,,,0,,,0
5,2004-03-15,increase,4.97557997557998,-4,2004-03-09,,,0,,,0,,,0,,,0
5,2004-03-15,increase,4.97557997557998,-3,2004-03-10,,,0,,,0,,,0,,,0
5,2004-03-15,increase,4.97557997557998,-2,2004-03-11,,,0,,,0,,,0,,,0
5,2004-03-15,increase,4.97557997557998,-1,2004-03-12,,,0,,,0,,,0,,,0
5,2004-03-15,increase,4.97557997557998,0,2004-03-15,,,0,,,0,,,0,,,0
5,2004-03-15,increase,4.97557997557998,1,2004-03-16,,,0,,,0,,,0,,,0
5,2004-03-15,increase,4.97557997557998,2,2004-03-17,-0.5994,1.0,1,-0.5994,1.0,1,-0.5994,1.0,1,,,0
5,2004-03-15,increase,4.97557997557998,3,2004-03-18,0.0,0.0,2,0.0,0.0,1,,,0,0.0,0.0,1
5,2004-03-15,increase,4.97557997557998,4,2004-03-19,0.3612,0.0,1,0.3612,0.0,1,,,0,,,0
5,2004-03-15,increase,4.97557997557998,5,2004-03-22,,,0,,,0,,,0,,,0
6,2004-04-07,increase,5.050825921219815,-5,2004-03-31,-0.02345,0.5,2,-0.2732,1.0,1,0.2263,0.0,1,,,0
6,2004-04-07,increase,5.050825921219815,-4,2004-04-01,,,0,,,0,,,0,,,0
6,2004-04-07,increase,5.050825921219815,-3,2004-04-02,,,0,,,0,,,0,,,0
6,2004-04-07,increase,5.050825921219815,-2,2004-04-05,,,0,,,0,,,0,,,0
6,2004-04-07,increase,5.050825921219815,-1,2004-04-06,,,0,,,0,,,0,,,0
6,2004-04-07,increase,5.050825921219815,0,2004-04-07,0.0,0.0,1,,,0,,,0,0.0,0.0,1
6,2004-04-07,increase,5.050825921219815,1,2004-04-08,,,0,,,0,,,0,,,0
6,2004-04-07,increase,5.050825921219815,2,2004-04-09,,,0,,,0,,,0,,,0
6,2004-04-07,increase,5.050825921219815,3,2004-04-12,0.0,0.0,1,,,0,,,0,0.0,0.0,1
6,2004-04-07,increase,5.050825921219815,4,2004-04-13,,,0,,,0,,,0,,,0
6,2004-04-07,increase,5.050825921219815,5,2004-04-14,,,0,,,0,,,0,,,0
7,2004-06-01,increase,5.54054054054054,-5,2004-05-25,0.0,0.0,3,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
7,2004-06-01,increase,5.54054054054054,-4,2004-05-26,-0.1366,0.5,2,-0.2732,1.0,1,,,0,0.0,0.0,1
7,2004-06-01,increase,5.54054054054054,-3,2004-05-27,0.0,0.0,1,0.0,0.0,1,,,0,,,0
7,2004-06-01,increase,5.54054054054054,-2,2004-05-28,0.2283666666666667,0.0,3,0.2294,0.0,2,0.2263,0.0,1,,,0
7,2004-06-01,increase,5.54054054054054,-1,2004-05-31,-0.1366,0.5,2,-0.2732,1.0,1,-0.2732,1.0,1,0.0,0.0,1
7,2004-06-01,increase,5.54054054054054,0,2004-06-01,0.03835714285714286,0.2857142857142857,7,0.23653333333333335,0.0,3,0.20095,0.0,2,-0.28099999999999997,0.6666666666666666,3
7,2004-06-01,increase,5.54054054054054,1,2004-06-02,0.0744,0.16666666666666666,6,0.23886666666666667,0.0,3,0.0,0.0,1,-0.1351,0.5,2
7,2004-06-01,increase,5.54054054054054,2,2004-06-03,0.15897999999999998,0.0,5,0.0,0.0,2,0.39744999999999997,0.0,2,0.0,0.0,1
7,2004-06-01,increase,5.54054054054054,3,2004-06-04,-0.07655,0.5,2,-0.1531,1.0,1,,,0,0.0,0.0,1
7,2004-06-01,increase,5.54054054054054,4,2004-06-07,-0.4588,1.0,1,,,0,-0.4588,1.0,1,,,0
7,2004-06-01,increase,5.54054054054054,5,2004-06-08,0.296,0.0,1,0.296,0.0,1,,,0,,,0
8,2004-07-01,increase,7.104154124021678,-5,2004-06-24,,,0,,,0,,,0,,,0
8,2004-07-01,increase,7.104154124021678,-4,2004-06-25,,,0,,,0,,,0,,,0
8,2004-07-01,increase,7.104154124021678,-3,2004-06-28,-0.3182,1.0,1,,,0,,,0,-0.3182,1.0,1
8,2004-07-01,increase,7.104154124021678,-2,2004-06-29,,,0,,,0,,,0,,,0
8,2004-07-01,increase,7.104154124021678,-1,2004-06-30,,,0,,,0,,,0,,,0
8,2004-07-01,increase,7.104154124021678,0,2004-07-01,0.0,0.0,1,,,0,0.0,0.0,1,,,0
8,2004-07-01,increase,7.104154124021678,1,2004-07-02,,,0,,,0,,,0,,,0
8,2004-07-01,increase,7.104154124021678,2,2004-07-05,-0.5267,1.0,1,,,0,-0.5267,1.0,1,,,0
8,2004-07-01,increase,7.104154124021678,3,2004-07-06,-0.4939,1.0,1,,,0,,,0,-0.4939,1.0,1
8,2004-07-01,increase,7.104154124021678,4,2004-07-07,-0.1366,0.5,2,0.0,0.0,1,,,0,-0.2732,1.0,1
8,2004-07-01,increase,7.104154124021678,5,2004-07-08,-0.3286,1.0,2,,,0,-0.3612,1.0,1,-0.296,1.0,1
9,2004-09-02,increase,6.507537688442211,-5,2004-08-25,-0.21075,0.5,2,0.0,0.0,1,,,0,-0.4215,1.0,1
9,2004-09-02,increase,6.507537688442211,-4,2004-08-26,-0.099675,0.5,4,-0.1329,0.6666666666666666,3,,,0,0.0,0.0,1
9,2004-09-02,increase,6.507537688442211,-3,2004-08-27,0.3412,0.0,1,0.3412,0.0,1,0.3412,0.0,1,,,0
9,2004-09-02,increase,6.507537688442211,-2,2004-08-30,,,0,,,0,,,0,,,0
9,2004-09-02,increase,6.507537688442211,-1,2004-08-31,-0.4588,1.0,1,,,0,-0.4588,1.0,1,,,0
9,2004-09-02,increase,6.507537688442211,0,2004-09-02,-0.044275,0.5,4,-0.06275,0.5,2,-0.0516,1.0,1,0.0,0.0,1
9,2004-09-02,increase,6.507537688442211,1,2004-09-03,0.28969999999999996,0.0,4,0.3862666666666666,0.0,3,,,0,0.1591,0.0,2
9,2004-09-02,increase,6.507537688442211,2,2004-09-06,,,0,,,0,,,0,,,0
9,2004-09-02,increase,6.507537688442211,3,2004-09-07,-0.1779,1.0,1,,,0,-0.1779,1.0,1,,,0
9,2004-09-02,increase,6.507537688442211,4,2004-09-08,,,0,,,0,,,0,,,0
