category,category_label,relative_trading_day,n_events_with_sentiment,mean_sentiment,median_sentiment,pre_event_baseline_mean,mean_excess_vs_pre_event_baseline
all_oil,All oil coverage,-5,29,0.03622586206896552,0.0,-0.037727160493827155,0.07395302256279268
all_oil,All oil coverage,-4,27,-0.08568216049382717,-0.01422,-0.037727160493827155,-0.04795500000000001
all_oil,All oil coverage,-3,30,-0.04918355555555554,0.0,-0.037727160493827155,-0.011456395061728387
all_oil,All oil coverage,-2,22,-0.06073446969696969,0.0,-0.037727160493827155,-0.023007309203142534
all_oil,All oil coverage,-1,23,-0.08154663561076604,-0.124875,-0.037727160493827155,-0.043819475116938886
all_oil,All oil coverage,0,34,-0.06012130952380952,0.0,-0.037727160493827155,-0.022394149029982366
all_oil,All oil coverage,1,37,0.02904653582153582,0.0,-0.037727160493827155,0.06677369631536298
all_oil,All oil coverage,2,26,-0.08419564102564103,-0.029383333333333324,-0.037727160493827155,-0.04646848053181388
all_oil,All oil coverage,3,24,-0.05666024305555556,0.0,-0.037727160493827155,-0.018933082561728404
all_oil,All oil coverage,4,25,-0.08204723809523809,0.0,-0.037727160493827155,-0.044320077601410934
all_oil,All oil coverage,5,24,-0.04734861111111111,0.0,-0.037727160493827155,-0.009621450617283957
market_prices,Market and prices,-5,11,0.10013636363636365,0.0,-0.0008641304347826065,0.10100049407114625
market_prices,Market and prices,-4,11,-0.022872727272727267,0.0,-0.0008641304347826065,-0.02200859683794466
market_prices,Market and prices,-3,13,-0.060588461538461535,0.0,-0.0008641304347826065,-0.05972433110367893
market_prices,Market and prices,-2,11,-0.009272727272727271,0.0,-0.0008641304347826065,-0.008408596837944664
market_prices,Market and prices,-1,10,-0.11612333333333333,0.0,-0.0008641304347826065,-0.11525920289855072
market_prices,Market and prices,0,19,-0.08095526315789472,0.0,-0.0008641304347826065,-0.08009113272311212
market_prices,Market and prices,1,25,0.083966,0.0,-0.0008641304347826065,0.0848301304347826
market_prices,Market and prices,2,15,-0.027515555555555567,0.0,-0.0008641304347826065,-0.02665142512077296
market_prices,Market and prices,3,11,0.021654545454545458,0.0,-0.0008641304347826065,0.022518675889328064
market_prices,Market and prices,4,13,0.011857692307692309,0.0,-0.0008641304347826065,0.012721822742474916
market_prices,Market and prices,5,9,-0.006722222222222222,0.0,-0.0008641304347826065,-0.005858091787439616
supply_geopolitics,Supply and geopolitics,-5,12,0.009733333333333335,0.0,-0.04032009803921569,0.05005343137254903
supply_geopolitics,Supply and geopolitics,-4,11,-0.1323257575757576,-0.0516,-0.04032009803921569,-0.09200565953654191
supply_geopolitics,Supply and geopolitics,-3,6,0.06578333333333333,0.0386,-0.04032009803921569,0.10610343137254902
supply_geopolitics,Supply and geopolitics,-2,5,-0.08536,-0.25,-0.04032009803921569,-0.04503990196078431
supply_geopolitics,Supply and geopolitics,-1,11,-0.09494545454545454,-0.064,-0.04032009803921569,-0.05462535650623885
supply_geopolitics,Supply and geopolitics,0,12,-0.084275,-0.06407500000000001,-0.04032009803921569,-0.04395490196078431
supply_geopolitics,Supply and geopolitics,1,14,-0.03309464285714284,0.0,-0.04032009803921569,0.0072254551820728485
supply_geopolitics,Supply and geopolitics,2,12,0.019533333333333337,0.074,-0.04032009803921569,0.05985343137254903
supply_geopolitics,Supply and geopolitics,3,10,-0.09417,-0.08895,-0.04032009803921569,-0.05384990196078431
supply_geopolitics,Supply and geopolitics,4,11,-0.14710909090909088,0.0,-0.04032009803921569,-0.1067889928698752
supply_geopolitics,Supply and geopolitics,5,11,-0.0021151515151515143,0.0,-0.04032009803921569,0.03820494652406418
consumer_fuel,Consumer fuel,-5,16,-0.023854583333333332,0.0,-0.05851084615384615,0.03465626282051282
consumer_fuel,Consumer fuel,-4,15,-0.07182933333333334,0.0,-0.05851084615384615,-0.013318487179487193
consumer_fuel,Consumer fuel,-3,20,-0.03458208333333333,0.0,-0.05851084615384615,0.023928762820512817
consumer_fuel,Consumer fuel,-2,14,-0.11803214285714285,0.0,-0.05851084615384615,-0.0595212967032967
consumer_fuel,Consumer fuel,-1,12,-0.10540486111111112,-0.09822083333333334,-0.05851084615384615,-0.04689401495726497
consumer_fuel,Consumer fuel,0,21,-0.03168888888888888,0.0,-0.05851084615384615,0.026821957264957272
consumer_fuel,Consumer fuel,1,15,0.007345904761904761,0.0,-0.05851084615384615,0.06585675091575091
consumer_fuel,Consumer fuel,2,13,-0.1625326923076923,-0.1591,-0.05851084615384615,-0.10402184615384615
consumer_fuel,Consumer fuel,3,12,-0.034952976190476194,0.0,-0.05851084615384615,0.023557869963369955
consumer_fuel,Consumer fuel,4,10,-0.1603733333333333,-0.08301666666666667,-0.05851084615384615,-0.10186248717948716
consumer_fuel,Consumer fuel,5,12,-0.15666805555555555,-0.17053333333333334,-0.05851084615384615,-0.0981572094017094
