category,category_label,measure,measure_label,normal_n_days_with_coverage,extreme_n_days_with_coverage,normal_mean,extreme_mean,mean_difference_extreme_minus_normal,normal_median,extreme_median,mann_whitney_u,p_value,fdr_p_value,significant_fdr_0_05
all_oil,All oil coverage,mean_sentiment,Mean VADER compound score,1345,90,-0.05857245010916386,-0.06209771693121694,-0.0035252668220530844,0.0,0.0,60105.0,0.9103927247745323,0.9103927247745323,False
all_oil,All oil coverage,negative_headline_share,Negative-headline share,1345,90,0.334402254086269,0.2976190476190476,-0.036783206467221385,0.0,0.0,57889.5,0.4394179170007996,0.8218441511921517,False
all_oil,All oil coverage,positive_headline_share,Positive-headline share,1345,90,0.20457691626836608,0.1528042328042328,-0.05177268346413327,0.0,0.0,56718.0,0.20888768213210152,0.8218441511921517,False
market_prices,Market and prices,mean_sentiment,Mean VADER compound score,431,45,-0.04491158159319413,-0.029931851851851852,0.01497972974134228,0.0,0.0,9928.0,0.788314820663359,0.9103927247745323,False
market_prices,Market and prices,negative_headline_share,Negative-headline share,431,45,0.3226604795050271,0.2722222222222222,-0.05043825728280488,0.0,0.0,9117.0,0.44362183577544667,0.8218441511921517,False
market_prices,Market and prices,positive_headline_share,Positive-headline share,431,45,0.2353054911059551,0.2388888888888889,0.0035833977829337893,0.0,0.0,9874.5,0.7997351475763179,0.9103927247745323,False
supply_geopolitics,Supply and geopolitics,mean_sentiment,Mean VADER compound score,496,26,-0.0648519254032258,-0.09614807692307692,-0.031296151519851115,0.0,-0.0258,5925.5,0.47940908819542183,0.8218441511921517,False
supply_geopolitics,Supply and geopolitics,negative_headline_share,Negative-headline share,496,26,0.3744623655913979,0.4423076923076923,0.0678453267162944,0.0,0.25,6950.5,0.44086658746138685,0.8218441511921517,False
supply_geopolitics,Supply and geopolitics,positive_headline_share,Positive-headline share,496,26,0.2601478494623656,0.23076923076923078,-0.029378618693134795,0.0,0.0,6264.0,0.7580996242198448,0.9103927247745323,False
consumer_fuel,Consumer fuel,mean_sentiment,Mean VADER compound score,790,52,-0.07060380650994576,-0.06428108974358974,0.006322716766356012,0.0,0.0,20795.0,0.8751182716214282,0.9103927247745323,False
consumer_fuel,Consumer fuel,negative_headline_share,Negative-headline share,790,52,0.32491711874623264,0.25961538461538464,-0.065301734130848,0.0,0.0,18899.5,0.27001171576391947,0.8218441511921517,False
consumer_fuel,Consumer fuel,positive_headline_share,Positive-headline share,790,52,0.138086196503918,0.0737179487179487,-0.06436824778596931,0.0,0.0,18776.5,0.13292855495802372,0.8218441511921517,False
