date,headline_text,is_excluded,exclusion_reason,suppression_reason
2003-02-26,oil pushes higher as us craves heating oil,False,,
2003-03-13,major oil producers accused of boycotting oil forum,False,,
2003-03-19,call for funding to tackle petrol sniffing,True,petrol_sniffing,
2003-03-21,war could fuel terrorism says crean,False,,
2003-04-21,finland tackles oil spill in baltic,False,,
2003-07-16,mobil rejects claims it will quit petrol retailing,False,,
2003-08-02,birds recover after diesel spill,False,,
2003-09-18,fire erupts at iraqi oil pipeline,False,,
2003-10-17,moves to ban petrol in more communities,False,,
2003-12-13,fuel yet to reach stranded adventurer,False,,
2004-02-27,minister wants more from wa gas and oil sectors,False,,
2004-03-11,fuel reduction burns planned for central vic,False,,
2004-11-04,oil well boosts daily production,False,,
2004-11-12,woodside energy pioneers search for bight oil,False,,
2004-11-26,drivers urged to shop around for cheapest fuel,False,,
2005-01-10,citycats switch to greener fuel,False,,
2005-03-21,tainted fuel leaves png air passengers grounded,False,,
2005-03-31,boswell urges sale of of ethanol blended fuel,False,,
2005-05-09,use shame as fuel for fight back pagan tells blues,False,,
2005-07-02,claim govt funding cuts fuel failure to probe uni,False,,
2005-07-08,liberal partys wa director quits to work for oil,False,,
2005-07-18,shell service station blamed for petrol leak,False,,
2005-08-24,public urged not to become fuel theft victims,False,,
2005-09-06,community continues push for non sniffable fuel,True,petrol_sniffing,
2005-09-23,truck drivers blockade highways in fuel protest,False,,
2005-09-26,petrol station owners issued bowser warning,False,,
2005-09-27,hurricane damages bhp oil platform,False,,
2005-10-03,iraqs oil minister survives bomb attack,False,,
2005-10-17,qld extends subsidy to non sniffable fuel,True,petrol_sniffing,
2005-11-11,lobby group urges fuel rebate to boost highway use,False,,
2005-11-25,record co2 levels fuel global warming fears,False,,
2006-03-21,dse begins fuel reduction burns,False,,
2006-04-05,perth company to cash in on oil find,False,,
2006-06-15,alp figures back compulsory ethanol levels in fuel,False,,
2006-06-23,officials suspect petrol bombs started college,False,,
2006-07-10,sa opposition calls for detail on oil refinery,False,,
2006-08-09,fueltrac cast doubt on 180 petrol predictions,False,,
2006-08-23,man fined for supplying petrol to woorabinda youths,False,,
2006-09-15,jellat fire brigade to hold open day over fuel,False,,
2006-10-12,thousands of litres of diesel stolen from parkes,False,,
2006-11-08,fire service replaces petrol vehicles,False,,
2006-11-09,crack in fuel line blamed for qantas emergency,False,,
2007-01-09,japanese oil tanker collides with us sub,False,,
2007-05-29,perth university establishes alternative fuel,False,,
2007-06-01,stolen plates list to combat act fuel theft,False,,
2007-06-02,petrol spill perpetrators face huge clean up bill,False,,
2007-07-17,search for oil in south australia,False,,
2007-10-05,petrol inquiry floats idea of price benchmarks,False,,
2008-01-07,aust oil interests,False,,
2008-03-10,oil and gas giant to build on wa lng find,False,,
2008-04-08,raa analyst matthew hanton warns petrol could jump,False,,
2008-04-17,albury police investigate fuel bomb,False,,
2008-04-29,british oil refinery workers end strike,False,,local_incident_without_market_impact
2008-06-01,bligh unveils drivers licence fuel discount system,False,,
2008-06-09,south east oil flow confirmed,False,,
2008-06-23,oil could hit usd 200 next yr caltex chief,False,,
2008-07-30,four dead after clashes in nigerian oil region,False,,
2008-08-07,nationals promise pensioners fuel card,False,,
2008-09-30,grylls wants free fuel cards for seniors,False,,
2008-10-01,fed govt appoints new petrol commissioner,False,,
2008-10-20,tasting olive oil,True,olive_oil,
2008-12-13,us to starve north korea of fuel over nuclear stand off,False,,
2009-03-11,rough seas hamper oil spill containment,False,,
2009-03-12,tonnes of oil blanket queensland beaches,False,,
2009-04-02,time will tell feasibility of oil mallee,False,,
2009-05-04,service station praised for curbing petrol sniffing,True,petrol_sniffing,
2009-05-13,oil spill company may face action council,False,,
2009-07-05,oil spill pledge never included full clean up cost,False,,
2009-08-25,running out of fuel may become nz crime,False,,
2009-09-22,girl fight sites fuel female crime rate,False,,
2009-10-02,call for petrol sniffing laws to tackle problem,True,petrol_sniffing,
2009-10-23,profit increase for beach petroleum,False,,
2009-10-29,oil spill clean up company pleased with progress,False,,
2009-10-31,oil leak putting wildlife at risk report,False,,
2009-11-04,west atlas oil leak stopped,False,,
2010-01-13,conflict of interest claim over oil well safety,False,,local_incident_without_market_impact
2010-02-17,police fear new bar will fuel violence,False,,
2010-03-23,fuel burn planned for upper murray,False,,
2010-04-04,ship leaking oil way off course,False,,
2010-04-27,robotic submarines used in oil rig salvage,False,,
2010-07-05,bp resumes oil skimming after hurricane,False,,
2010-07-20,bp considers static kill to plug oil leak,False,,
2010-11-23,santos oil leak sparks fears for cuttlefish,False,,
2010-12-03,evidence destroyed the luckiest oil spill,False,,
2011-01-06,bp cost cutting blamed for oil spill,False,,
2011-01-31,pacific adventurer oil spill payouts likely by,False,,
2011-04-03,fierce clashes rage in libyan oil town,False,,
2011-06-22,petrol sniffing outbreaks hit opal free communities,True,petrol_sniffing,
2011-08-24,heysen oil painting finds new home,True,oil_painting,
2011-09-20,highest fuel loads seen in fifteen years,False,,
2011-12-02,a drought of fuel as floods approach,False,,
2011-12-21,oil extraction proves fruitless,False,,
2012-01-11,mosque torched in nigeria oil unrest,False,,
2012-03-13,sheens wont fuel moltzen fire,False,,
2012-03-22,olive oil industry upset about supermarket,True,olive_oil,
2012-05-02,rann electoral office petrol lock,False,,
2012-05-07,burn offs fuel better bushfire protection,False,,
2012-08-31,montara oil spill 510000 fine darwin court,False,,
2012-09-13,shell to improve regional fuel services,False,,
2012-10-08,aacc ceo brent kinanne welcomes industry input,False,,
2012-10-18,ramos horta lobbies australia over oil and gas,False,,
2013-03-27,solar leasing plan to fuel new industry boom,False,,
2013-03-30,consumer backlash over palm oil hot cross buns,True,palm_oil,
2013-04-01,9 dead after fuel tanker terrorist attack,False,,
2013-05-20,interview brent kite,False,,
2013-05-23,snowdon on low aromatic fuel rollout petrol sniffing forum,True,petrol_sniffing,
2013-05-30,great australian bight oil and gas search plan under scrutiny,False,,
2013-06-23,canada's oil capital to shut for days following flooding,False,,
2013-06-28,oil petrofrontier statoil georgina basin,False,,
2013-08-11,interview brent tate,False,,
2013-08-24,interview brent tate,False,,
2013-09-13,man guilty of throwing petrol at woman; lighting it,False,,
2013-12-09,four dead as indonesia train collides with fuel truck,False,,
2014-02-12,brent finlay drought support,False,,
2014-03-07,petrol explore,False,,
2014-05-01,coconut oil wealth for island,True,coconut_oil,
2014-05-17,interview brent tate,False,,
2014-06-14,abbott says coal will fuel progress for decades,False,,
2014-11-12,petrol theft crackdown gold coast,False,,
2014-12-22,mou fishing oil gas seafood,False,,
2015-03-26,am beswick community petrol sniffing fight nt,True,petrol_sniffing,
2015-05-19,ausgroup acted appropriately after port melville diesel spill nt,False,,
2015-07-29,public urged to report oil slick impacted animals,False,,
2015-09-01,perth dad accused of pouring petrol on children held in hospital,False,,
2015-09-17,85 killed in south sudan oil tanker blast,False,,local_incident_without_market_impact
2015-10-08,chief fire officer rejects call for overhaul of fuel reduction,False,,
2015-11-27,ballina fuel divest,False,,
2015-12-04,turkey has proof russian involvement in islamic state oil trade,False,,
2016-03-22,gwydir grove olive oil harvest and processing,True,olive_oil,
2016-05-26,brent the pup has been put to sleep; so what of its preferences,False,,
2016-11-26,melbourne airport jet fuel crisis eases,False,,
2016-12-01,oil field burns near mosul,False,,
2016-12-11,kenya oil tanker accident kills more than 30 people,False,,
2017-02-17,midnight oil to hit back at politics in upcoming tour,False,,
2017-07-07,france moves to ban petrol and diesel cars,False,,
2017-08-22,results season oil search seven group amcor sydney airports,False,,
2017-09-13,adelaides oldest cemetery releases full bodied olive oil,True,olive_oil,
2018-01-08,iranian oil tanker ablaze as rescuers search for missing,False,,
2018-02-20,western qld olive oil producer wins bronze in usa competition,True,olive_oil,
2018-04-05,farmer donates fuel to keep hospital running during black out,False,,
2018-04-19,metals oil and iron ore melt up,False,,
2018-07-30,fuel tank ejected from plane darwin during pitch black,False,,
2018-09-11,petrol stations accused of price gouging by racq brisbane qld,False,,
2018-10-29,man arrested after petrol station seige in canberra,False,,
2018-12-10,parents cannabis oil son treatment no conviction rockhampton,True,cannabis_oil,
2018-12-27,top end fracking industry could help fuel water projects,False,,
2019-02-09,oil mallees: oil mallee trees finally paying off,False,,
2019-09-29,injured sailors were rescued from oil tankers on fire,False,,
2019-10-31,fuel tanker engulfed in flames on eyre highway,False,,
2020-05-28,diesel run town yalgoo calls for cleaner energy,False,,
